EXONS FAILING QC (depth < 50):
Gene	Chromosome	Start	Stop	Transcript	Average_Read_Depth
RUNX1	chr21	36164448	36164928	RUNX1:NM_001754(exon 10-intron 10),RUNX1:NM_001001890(exon 7-intron 7)	29.6118
RUNX1	chr21	36206681	36206921	RUNX1:NM_001754(intron 9-intron 8),RUNX1:NM_001001890(intron 6-intron 5),RUNX1:NM_001122607(intron 6-intron 5)	43.5545
RUNX1	chr21	36259113	36259433	RUNX1:NM_001754(intron 6-intron 5),RUNX1:NM_001001890(intron 3-5' UTR ),RUNX1:NM_001122607(intron 3-5' UTR )	38.4646666666667
SF1	chr11	64534340	64534580	SF1:NM_004630(intron 14-intron 13),SF1:NM_001178030(intron 14-intron 13),SF1:NM_001178031(intron 14-intron 13),SF1:NR_033649(intron 13-intron 12),SF1:NR_033650(intron 13-intron 12),SF1:NM_201995(intron 14-intron 13),SF1:NM_201998(intron 14-intron 13),SF1:NM_201997(intron 14-intron 13)	41.83275
SF1	chr11	64545700	64545900	SF1:NM_004630(intron 3-5' UTR ),SF1:NM_001178030(exon 2-5' UTR ),SF1:NR_033649(intron 3-3' UTR ),SF1:NR_033650(intron 3-3' UTR ),SF1:NM_201995(intron 3-5' UTR ),SF1:NM_201998(intron 3-5' UTR ),SF1:NM_201997(intron 3-5' UTR )	5.78766666666667
SF1	chr11	64545740	64545900	SF1:NM_004630(intron 3-5' UTR ),SF1:NM_001178030(exon 2-5' UTR ),SF1:NR_033649(intron 3-3' UTR ),SF1:NR_033650(intron 3-3' UTR ),SF1:NM_201995(intron 3-5' UTR ),SF1:NM_201998(intron 3-5' UTR ),SF1:NM_201997(intron 3-5' UTR )	6.928
SMARCA4	chr19	11094797	11095077	SMARCA4:NM_001128849(5' UTR -intron 2),SMARCA4:NM_001128846(5' UTR -intron 1),SMARCA4:NM_001128845(5' UTR -intron 1),SMARCA4:NM_001128847(5' UTR -intron 1),SMARCA4:NM_003072(5' UTR -intron 2),SMARCA4:NM_001128848(5' UTR -intron 1),SMARCA4:NM_001128844(5' UTR -intron 3)	48.7748
SMARCA4	chr19	11098309	11098629	SMARCA4:NM_001128849(intron 5-intron 6),SMARCA4:NM_001128846(intron 4-intron 5),SMARCA4:NM_001128845(intron 4-intron 5),SMARCA4:NM_001128847(intron 4-intron 5),SMARCA4:NM_003072(intron 5-intron 6),SMARCA4:NM_001128848(intron 4-intron 5),SMARCA4:NM_001128844(intron 6-intron 7)	36.9058333333333
SMO	chr7	128829076	128829356	SMO:NM_005631(exon 1-intron 1)	22.7726
SOD2	chr6	160113750	160113990	SOD2:NM_000636(exon 3-intron 3),SOD2:NM_001024465(exon 3-intron 3),SOD2:NM_001024466(exon 3-intron 3)	45.692
SRC	chr20	36012520	36012840	SRC:NM_198291(intron 3-intron 4),SRC:NM_005417(intron 3-intron 4)	38.3076666666667
SRC	chr20	36026018	36026338	SRC:NM_198291(intron 8-intron 9),SRC:NM_005417(intron 8-intron 9)	40.558
SRC	chr20	36031536	36031816	SRC:NM_198291(intron 13-3' UTR ),SRC:NM_005417(intron 13-3' UTR )	48.0274
STK11	chr19	1226428	1226668	STK11:NM_000455(intron 8-intron 9)	24.83225
TMPRSS2	chr21	42879783	42880023	TMPRSS2:NM_005656(intron 3-5' UTR ),TMPRSS2:NM_001135099(intron 3-5' UTR )	26.207
TMPRSS2	chr21	42879903	42880023	TMPRSS2:NM_005656(intron 3-5' UTR ),TMPRSS2:NM_001135099(exon 2-5' UTR )	12.008
TRRAP	chr7	98579366	98579606	TRRAP:NM_003496(intron 56-intron 57),TRRAP:NM_001244580(intron 57-intron 58)	18.12125
TSC2	chr16	2107021	2107261	TSC2:NM_000548(intron 8-intron 9),TSC2:NM_001077183(intron 8-intron 9),TSC2:NM_001114382(intron 8-intron 9)	41.25
U2AF1	chr21	44527461	44527701	U2AF1:NM_006758(intron 3-5' UTR ),U2AF1:NM_001025204(intron 3-5' UTR ),U2AF1:NM_001025203(intron 3-5' UTR )	48.53175
U2AF2	chr19	56170482	56170802	U2AF2:NM_007279(intron 1-intron 2),U2AF2:NM_001012478(intron 1-intron 2)	38.6671666666667
U2AF2	chr19	56180356	56180636	U2AF2:NM_007279(intron 9-intron 10),U2AF2:NM_001012478(intron 9-intron 10)	48.9406
VHL	chr3	10183500	10183900	VHL:NM_198156(5' UTR -intron 1),VHL:NM_000551(5' UTR -intron 1)	28.96275
