Targeted.Region.ID	Exon.Number	Gene.Sym	Chr	OriStCoordinate	OriEndCoordinate	Mean.of.LogRatio	Adjusted.Mean.of.LogRatio	SD.of.LogRatio	Median.of.LogRatio	number.bases	P.Value	Adjusted.P.Value	gain.loss	tumour.rd	normal.rd	tumour.rd.ori	normal.rd.ori	MinLogRatio	MaxLogRatio	BinNumber
46	0	BI427750478_12824	1	23191416	23191536	-0.279	-0.301534556132124	0.103	-0.241	120	0.471484254004312	0.999983172729405	loss	153.65	187.281	103.142	277.342	-0.458	-0.098	2
47	0	BI427750478_12825	1	23191456	23191576	-0.352	-0.366549708765674	0.084	-0.383	120	0.3364732534354	0.999983172729405	loss	168.832	216.195	113.367	320.275	-0.467	-0.159	3
48	0	BI427750478_12826	1	23191496	23191616	-0.42	-0.426261110091282	0.068	-0.406	120	0.213352950438016	0.999983172729405	loss	186.514	250.329	125.275	370.958	-0.637	-0.317	3
49	0	BI427750478_12827	1	23191536	23191656	-0.483	-0.481878105564181	0.092	-0.453	120	0.12431226405999	0.999983172729405	loss	203.442	285.4	136.675	423.033	-0.668	-0.346	4
50	0	BI427750478_12828	1	23191576	23191696	-0.535	-0.533546441413095	0.076	-0.553	120	0.0876683573744867	0.999983172729405	loss	200.682	290.636	134.817	430.808	-0.668	-0.37	4
51	0	BI427750478_12829	1	23191616	23191736	-0.533	-0.540069287730815	0.064	-0.542	120	0.118899060863969	0.999983172729405	loss	175.675	255.823	117.975	379.117	-0.668	-0.338	3
52	0	BI427750478_12830	1	23208752	23208872	-0.173	-0.217390710014663	0.105	-0.163	120	0.676561762305964	0.999983172729405	loss	115.786	128.599	77.642	190.208	-0.482	0.035	2
53	0	BI427750478_12831	1	23208792	23208912	-0.075	-0.104839726292019	0.087	-0.088	120	0.816966639859161	0.999983172729405	loss	149.034	155.993	100.033	230.883	-0.222	0.128	2
54	0	BI427750478_12832	1	23208832	23208952	-0.038	-0.0615103072107949	0.068	-0.043	120	0.884472990323538	0.999983172729405	loss	165.838	170.063	111.35	251.775	-0.181	0.128	2
55	0	BI427750478_12833	1	23208872	23208992	-0.014	-0.0387679815910537	0.065	-0.024	120	0.928031322931468	0.999983172729405	loss	163.932	165.595	110.067	245.142	-0.159	0.128	2
56	0	BI427750478_12834	1	23208912	23209032	0.053	0.0187573805267268	0.131	0.015	120	0.968406842168733	0.999983172729405	gain	144.159	141.081	96.75	208.742	-0.159	0.344	2
57	0	BI427750478_12835	1	23208952	23209072	0.169	0.116989190115605	0.148	0.184	120	0.833584723024073	0.999983172729405	gain	113.769	103.833	76.283	153.433	-0.094	0.42	1
58	0	BI427750478_12836	1	23219336	23219456	-0.104	-0.123998961405355	0.118	-0.104	120	0.760554701443727	0.999983172729405	loss	171.74	182.617	115.325	270.417	-0.387	0.125	2
59	0	BI427750478_12837	1	23219376	23219496	-0.019	-0.0320722047702047	0.083	0	120	0.931742222838812	0.999983172729405	loss	195.869	197.922	131.575	293.142	-0.225	0.125	3
60	0	BI427750478_12838	1	23219416	23219536	0.048	0.0356344738493005	0.046	0.044	120	0.923508471806538	0.999983172729405	gain	202.303	195.75	135.908	289.917	-0.045	0.156	3
61	0	BI427750478_12839	1	23219456	23219576	0.115	0.0986180045152826	0.096	0.089	120	0.800343377465059	0.999983172729405	gain	194.174	180.255	130.433	266.908	-0.045	0.384	3
62	0	BI427750478_12840	1	23221877	23221997	-0.23	-0.232808655389878	0.04	-0.237	120	0.476266574151225	0.999983172729405	loss	212.252	248.18	142.608	367.767	-0.304	-0.131	4
63	0	BI427750478_12841	1	23221917	23222037	-0.194	-0.186588606180478	0.054	-0.19	120	0.52318709685933	0.999983172729405	loss	251.241	286.753	168.867	425.042	-0.302	-0.102	4
64	0	BI427750478_12842	1	23221957	23222077	-0.164	-0.152995760642404	0.044	-0.159	120	0.584918910338894	0.999983172729405	loss	268.02	300.239	180.167	445.067	-0.263	-0.067	5
65	0	BI427750478_12843	1	23221997	23222117	-0.157	-0.148724066404645	0.043	-0.153	120	0.607234288723995	0.999983172729405	loss	257.997	287.129	173.417	425.6	-0.245	-0.067	4
66	0	BI427750478_12844	1	23222037	23222157	-0.195	-0.197170316612286	0.061	-0.198	120	0.543657944669663	0.999983172729405	loss	217.61	247.321	146.217	366.492	-0.311	-0.067	4
67	0	BI427750478_12845	1	23222816	23222936	-0.274	-0.291297232070436	0.094	-0.241	120	0.459967634183473	0.999983172729405	loss	166.036	203.209	111.483	300.992	-0.5	-0.128	3
68	0	BI427750478_12846	1	23222856	23222976	-0.358	-0.361559752443638	0.124	-0.386	120	0.273081673399972	0.999983172729405	loss	198.529	256.665	133.367	380.367	-0.562	-0.128	4
69	0	BI427750478_12847	1	23222896	23223016	-0.451	-0.45289204318142	0.076	-0.459	120	0.161819522372187	0.999983172729405	loss	197.304	269.602	132.542	399.575	-0.58	-0.241	4
70	0	BI427750478_12848	1	23222936	23223056	-0.403	-0.414109225375882	0.131	-0.45	120	0.256890996612772	0.999983172729405	loss	173.138	232.606	116.267	344.642	-0.58	-0.113	3
71	0	BI427750478_12849	1	23232379	23232499	-0.016	-0.0302218062856626	0.074	-0.027	120	0.936581458567585	0.999983172729405	loss	190.981	195.974	128.283	290.25	-0.144	0.163	3
72	0	BI427750478_12850	1	23232419	23232539	-0.075	-0.0713240109634192	0.053	-0.078	120	0.815038838323708	0.999983172729405	loss	246.935	261.301	165.967	387.25	-0.236	0.058	4
73	0	BI427750478_12851	1	23232459	23232579	-0.145	-0.133000604096501	0.078	-0.113	120	0.630797092246266	0.999983172729405	loss	273.737	303.202	184.017	449.467	-0.325	-0.017	5
74	0	BI427750478_12852	1	23232499	23232619	-0.243	-0.229175613168746	0.114	-0.233	120	0.396974790711521	0.999983172729405	loss	271.98	321.223	182.833	476.225	-0.463	-0.063	5
75	0	BI427750478_12853	1	23232539	23232659	-0.351	-0.343189833192962	0.093	-0.372	120	0.238111605604952	0.999983172729405	loss	238.732	302.54	160.442	448.483	-0.525	-0.172	4
76	0	BI427750478_12854	1	23232579	23232699	-0.409	-0.415895169718171	0.052	-0.415	120	0.228704892549368	0.999983172729405	loss	186.081	246.563	124.983	365.367	-0.525	-0.24	3
77	0	BI427750478_12855	1	23233165	23233285	-0.37	-0.389831887772281	0.08	-0.345	120	0.337087169735237	0.999983172729405	loss	155.716	199.544	104.533	295.55	-0.613	-0.27	2
78	0	BI427750478_12856	1	23233205	23233325	-0.347	-0.35399599856991	0.037	-0.348	120	0.306235944712019	0.999983172729405	loss	189.979	242.001	127.608	358.592	-0.421	-0.276	3
79	0	BI427750478_12857	1	23233245	23233365	-0.363	-0.361351254903188	0.04	-0.363	120	0.24641614971013	0.999983172729405	loss	215.345	277.436	144.692	411.208	-0.45	-0.276	4
80	0	BI427750478_12858	1	23233285	23233405	-0.396	-0.390795061877455	0.04	-0.396	120	0.192280964350337	0.999983172729405	loss	224.626	295.586	150.942	438.158	-0.509	-0.3	4
81	0	BI427750478_12859	1	23233325	23233445	-0.466	-0.466437189051345	0.095	-0.435	120	0.14345028999204	0.999983172729405	loss	201.796	275.573	135.567	408.442	-0.669	-0.325	4
82	0	BI427750478_12860	1	23233365	23233485	-0.472	-0.488621927707165	0.097	-0.453	120	0.211498771392731	0.999983172729405	loss	156.211	216.852	104.867	321.25	-0.669	-0.305	3
83	0	BI427750478_12861	1	23234412	23234532	-0.322	-0.341423307895871	0.054	-0.323	120	0.398270692802568	0.999983172729405	loss	158.995	198.483	106.742	293.975	-0.45	-0.177	2
84	0	BI427750478_12862	1	23234452	23234572	-0.296	-0.303942710367567	0.061	-0.288	120	0.385740427413339	0.999983172729405	loss	191.377	234.418	128.55	347.333	-0.42	-0.177	3
85	0	BI427750478_12863	1	23234492	23234612	-0.227	-0.229800529023047	0.089	-0.238	120	0.48194647778354	0.999983172729405	loss	212.326	248.163	142.658	367.742	-0.401	-0.059	4
86	0	BI427750478_12864	1	23234532	23234652	-0.145	-0.150452963466103	0.09	-0.138	120	0.656948756145642	0.999983172729405	loss	209.542	232.712	140.783	344.8	-0.354	0.012	3
87	0	BI427750478_12865	1	23234572	23234692	-0.074	-0.0900233846772236	0.058	-0.066	120	0.816646169468363	0.999983172729405	loss	183.037	193.443	122.933	286.492	-0.213	0.048	3
88	0	BI427750478_12866	1	23235428	23235548	-0.12	-0.144906183245404	0.121	-0.085	120	0.73604491444883	0.999983172729405	loss	155.976	172.858	104.708	255.925	-0.338	0.107	2
89	0	BI427750478_12867	1	23235468	23235588	-0.22	-0.227001013684217	0.127	-0.256	120	0.511788829575464	0.999983172729405	loss	197.972	233.975	132.992	346.675	-0.434	0.036	3
90	0	BI427750478_12868	1	23235508	23235628	-0.26	-0.257407566344271	0.076	-0.256	120	0.404155154185681	0.999983172729405	loss	227.632	272.284	152.967	403.558	-0.434	-0.136	4
91	0	BI427750478_12869	1	23235548	23235668	-0.288	-0.283447299424865	0.091	-0.281	120	0.34783793495265	0.999983172729405	loss	232.223	282.846	156.058	419.242	-0.434	-0.136	4
92	0	BI427750478_12870	1	23235588	23235708	-0.349	-0.350173170412258	0.15	-0.361	120	0.275771203396726	0.999983172729405	loss	209.146	262.901	140.517	389.625	-0.669	-0.136	4
93	0	BI427750478_12871	1	23235628	23235748	-0.434	-0.448262704637253	0.123	-0.417	120	0.238167219348819	0.999983172729405	loss	164.811	221.903	110.658	328.75	-0.669	-0.219	3
94	0	BI427750478_12872	1	23236850	23236970	-0.054	-0.0990966667101125	0.08	-0.038	120	0.850122944868775	0.999983172729405	loss	119.238	122.533	79.967	181.2	-0.331	0.079	2
95	0	BI427750478_12873	1	23236890	23237010	-0.042	-0.074864796730613	0.052	-0.044	120	0.872674816919764	0.999983172729405	loss	143.429	147.861	96.258	218.808	-0.169	0.079	2
96	0	BI427750478_12874	1	23236930	23237050	-0.058	-0.0900470993420262	0.05	-0.056	120	0.845897390308687	0.999983172729405	loss	144.493	150.448	96.975	222.65	-0.169	0.079	2
97	0	BI427750478_12875	1	23236970	23237090	-0.009	-0.0509766907777123	0.115	-0.053	120	0.920351884729052	0.999983172729405	loss	125.45	128.089	84.15	189.45	-0.169	0.268	2
98	0	BI427750478_12876	1	23238853	23238973	-0.314	-0.365310729332754	0.091	-0.33	120	0.50927654978932	0.999983172729405	loss	98.587	121.348	66.058	179.442	-0.472	-0.069	1
99	0	BI427750478_12877	1	23238893	23239013	-0.222	-0.254978028053879	0.144	-0.255	120	0.585610235656589	0.999983172729405	loss	135.671	155.117	91.033	229.583	-0.472	0.004	2
100	0	BI427750478_12878	1	23238933	23239053	-0.121	-0.140743988798808	0.099	-0.09	120	0.728647737351428	0.999983172729405	loss	171.171	184.565	114.942	273.308	-0.36	0.013	2
101	0	BI427750478_12879	1	23238973	23239093	-0.092	-0.10488093983027	0.053	-0.092	120	0.778886762910375	0.999983172729405	loss	191.142	203.798	128.392	301.867	-0.249	0.013	3
102	0	BI427750478_12880	1	23239013	23239133	-0.12	-0.13406743691372	0.054	-0.114	120	0.72360674499168	0.999983172729405	loss	186.032	201.834	124.95	298.95	-0.25	0.013	3
103	0	BI427750478_12881	1	23239053	23239173	-0.155	-0.179438708815395	0.052	-0.145	120	0.674802907957248	0.999983172729405	loss	156.805	174.379	105.267	258.183	-0.314	-0.056	2
104	0	BI427750478_12882	1	23239867	23239987	-0.405	-0.44114396950598	0.141	-0.411	120	0.360563820883113	0.999983172729405	loss	117.518	159.579	78.808	236.208	-0.637	-0.132	2
105	0	BI427750478_12883	1	23239907	23240027	-0.491	-0.511108539267755	0.079	-0.492	120	0.209634936706565	0.999983172729405	loss	146.584	207.182	98.383	306.892	-0.637	-0.303	2
106	0	BI427750478_12884	1	23239947	23240067	-0.536	-0.550309913658593	0.048	-0.544	120	0.147821280023541	0.999983172729405	loss	157.832	228.604	105.958	338.7	-0.637	-0.431	3
107	0	BI427750478_12885	1	23239987	23240107	-0.538	-0.558038432856383	0.055	-0.539	120	0.170415759128906	0.999983172729405	loss	144.84	209.304	97.208	310.042	-0.726	-0.431	2
108	0	BI427750478_12886	1	23240027	23240147	-0.538	-0.575137225506503	0.08	-0.542	120	0.23775532175667	0.999983172729405	loss	111.022	161.914	74.433	239.675	-0.726	-0.355	2
109	0	BI427750478_12887	1	40363021	40363141	-0.021	-0.0316384793911501	0.104	0.008	120	0.930554240824581	0.999983172729405	loss	203.429	205.235	136.667	304	-0.238	0.27	3
110	0	BI427750478_12888	1	40363061	40363181	0.116	0.110340830889416	0.118	0.076	120	0.745336388470111	0.999983172729405	gain	229.352	211.515	154.125	313.325	-0.108	0.346	3
111	0	BI427750478_12889	1	40363101	40363221	0.16	0.155203545297786	0.094	0.168	120	0.643830534724882	0.999983172729405	gain	235.762	210.937	158.442	312.467	0.015	0.346	3
112	0	BI427750478_12890	1	40363141	40363261	0.137	0.135730802137404	0.117	0.131	120	0.673012115597028	0.999983172729405	gain	246.317	225.04	165.55	333.408	-0.057	0.346	4
113	0	BI427750478_12891	1	40363181	40363301	0.005	0.00882668194230679	0.125	0.01	120	0.976865785186531	0.999983172729405	gain	254.248	255.156	170.892	378.125	-0.233	0.248	4
114	0	BI427750478_12892	1	40363221	40363341	-0.092	-0.0812355612884888	0.09	-0.132	120	0.772440949053943	0.999983172729405	loss	273.39	292.797	183.783	434.017	-0.233	0.095	5
115	0	BI427750478_12893	1	40363261	40363381	-0.195	-0.179601394732326	0.087	-0.177	120	0.498166566103169	0.999983172729405	loss	282.931	324.669	190.208	481.342	-0.355	0.017	5
116	0	BI427750478_12894	1	40363301	40363421	-0.289	-0.270227063867477	0.111	-0.294	120	0.282466631598444	0.999983172729405	loss	287.732	351.916	193.442	521.8	-0.494	-0.107	5
117	0	BI427750478_12895	1	40363341	40363461	-0.392	-0.371125445696876	0.083	-0.434	120	0.126502429715698	0.999983172729405	loss	285.368	375.089	191.85	556.208	-0.514	-0.222	5
118	0	BI427750478_12896	1	40363381	40363501	-0.438	-0.413787092929646	0.047	-0.448	120	0.0711458397842467	0.999983172729405	loss	295.106	399.806	198.408	592.908	-0.514	-0.294	5
119	0	BI427750478_12897	1	40363421	40363541	-0.445	-0.419188942644995	0.032	-0.447	120	0.0599147094669124	0.999983172729405	loss	301.664	410.373	202.825	608.6	-0.514	-0.365	5
120	0	BI427750478_12898	1	40363461	40363581	-0.443	-0.419066935578429	0.031	-0.447	120	0.0689805727768351	0.999983172729405	loss	293.374	398.582	197.242	591.092	-0.508	-0.365	5
121	0	BI427750478_12899	1	40363501	40363621	-0.423	-0.407713855609711	0.052	-0.427	120	0.124766725211514	0.999983172729405	loss	258.567	347.993	173.8	515.975	-0.508	-0.271	5
122	0	BI427750478_12900	1	40363541	40363661	-0.341	-0.341103046894654	0.133	-0.384	120	0.282940572206218	0.999983172729405	loss	208.997	270.808	140.417	401.367	-0.508	-0.017	4
123	0	BI427750478_12901	1	40366459	40366579	-0.642	-0.709533214227643	0.091	-0.665	120	0.259690092131801	0.999983172729405	loss	67.145	104.635	44.883	154.625	-0.808	-0.46	1
124	0	BI427750478_12902	1	40366499	40366619	-0.483	-0.553145729353834	0.211	-0.516	120	0.388719216762367	0.999983172729405	loss	68.221	96.857	45.608	143.075	-0.791	0.033	1
125	0	BI427750478_12903	1	40366539	40366659	-0.164	-0.247557635651607	0.374	-0.26	120	0.725313522201101	0.999983172729405	loss	61.626	72.948	41.167	107.575	-0.678	0.707	1
126	0	BI427750478_12904	1	40366579	40366699	0.332	0.232233692719059	0.511	0.224	120	0.766041690678025	0.999983172729405	gain	56.293	48.838	37.575	71.775	-0.452	1.205	1
127	0	BI427750478_12905	1	40366619	40366739	0.498	0.3867172528604	0.356	0.379	120	0.643031618592441	0.999983172729405	gain	51.084	37.131	34.067	54.392	0.013	1.205	1
128	0	BI427750478_12906	1	40366659	40366779	0.374	0.271621624630219	0.455	0.215	120	0.731859847035675	0.999983172729405	gain	55.155	45.875	36.808	67.375	-0.391	1.205	1
129	0	BI427750478_12907	1	40366699	40366819	-0.044	-0.124138899234554	0.274	-0.128	120	0.856923753356831	0.999983172729405	loss	67.826	73.942	45.342	109.05	-0.461	0.759	1
130	0	BI427750478_12908	1	40366739	40366859	-0.218	-0.275819827620275	0.146	-0.25	120	0.636725868278521	0.999983172729405	loss	91.373	107.801	61.2	159.325	-0.461	0.211	1
131	0	BI427750478_12909	1	40366779	40366899	-0.254	-0.301316289330293	0.086	-0.259	120	0.573166416901255	0.999983172729405	loss	106.778	126.955	71.575	187.767	-0.461	-0.067	1
132	0	BI427750478_12910	1	40366819	40366939	-0.201	-0.250453233442704	0.081	-0.206	120	0.645739124253447	0.999983172729405	loss	104.971	121.276	70.358	179.333	-0.347	-0.026	1
133	0	BI427750478_12911	1	40366859	40366979	-0.117	-0.177547073519628	0.108	-0.104	120	0.76608165544248	0.999983172729405	loss	91.199	99.87	61.083	147.55	-0.313	0.153	1
134	0	BI427750478_12912	1	40366899	40367019	-0.026	-0.0944595704971694	0.116	-0.028	120	0.881533118628026	0.999983172729405	loss	83.825	85.548	56.117	126.283	-0.313	0.191	1
135	0	BI427750478_12913	1	40366939	40367059	0.033	-0.0348277524086535	0.079	0.018	120	0.9559756180265	0.999983172729405	loss	86.535	84.476	57.942	124.692	-0.124	0.191	1
136	0	BI427750478_12914	1	40366979	40367099	0.047	-0.0187839053769312	0.075	0.04	120	0.975881627808357	0.999983172729405	loss	89.653	86.766	60.042	128.092	-0.124	0.191	1
137	0	BI427750478_12915	1	40367019	40367139	0.043	-0.0300886709428179	0.072	0.048	120	0.963389939509784	0.999983172729405	loss	80.038	77.803	53.567	114.783	-0.124	0.221	1
143	0	BI427750478_12921	1	43803437	43803557	-0.194	-0.292113202668797	0.395	-0.305	120	0.705409086257338	0.999983172729405	loss	51.678	56.134	34.467	82.608	-0.908	0.47	1
144	0	BI427750478_12922	1	43803477	43803597	0.13	0.0422679585134408	0.309	0.259	120	0.953451932048139	0.999983172729405	gain	66.675	59.608	44.567	87.767	-0.457	0.48	1
145	0	BI427750478_12923	1	43803517	43803637	0.257	0.176412255436728	0.143	0.263	120	0.798390889588516	0.999983172729405	gain	76.524	64.278	51.2	94.7	-0.048	0.48	1
146	0	BI427750478_12924	1	43803557	43803677	0.061	-0.0119532257424852	0.293	0.093	120	0.985437652443247	0.999983172729405	loss	79.791	78.376	53.4	115.633	-0.498	0.48	1
147	0	BI427750478_12925	1	43803674	43803794	-0.409	-0.42809559727749	0.065	-0.405	120	0.287697420965425	0.999983172729405	loss	154.021	205.246	103.392	304.017	-0.546	-0.283	2
148	0	BI427750478_12926	1	43803714	43803834	-0.461	-0.469019071287503	0.063	-0.479	120	0.181194765819143	0.999983172729405	loss	178.843	246.457	120.108	365.208	-0.56	-0.283	3
149	0	BI427750478_12927	1	43803754	43803874	-0.386	-0.38984708437421	0.13	-0.411	120	0.23921962693905	0.999983172729405	loss	196.451	256.755	131.967	380.5	-0.56	-0.14	4
150	0	BI427750478_12928	1	43803794	43803914	-0.255	-0.260529155847609	0.224	-0.237	120	0.442332709139135	0.999983172729405	loss	200.633	241.108	134.783	357.267	-0.56	0.199	3
151	0	BI427750478_12929	1	43803834	43803954	-0.052	-0.0638039093299878	0.173	-0.07	120	0.862538699669235	0.999983172729405	loss	196.104	205.369	131.733	304.2	-0.425	0.222	3
152	0	BI427750478_12930	1	43803874	43803994	-0.022	-0.0452804873701227	0.144	-0.055	120	0.914602203860506	0.999983172729405	loss	167.892	169.187	112.733	250.475	-0.251	0.222	2
153	0	BI427750478_12931	1	43804180	43804300	-0.248	-0.245780113790701	0.214	-0.186	120	0.427603047650379	0.999983172729405	loss	223.697	273.39	150.317	405.2	-0.57	0.168	4
