Position	Probe	MeanCoverage
2:25474956-25475145	DNMT3A_Cds_16896553_UserDefined_(33381745)_52950490.1	1740
2:25470999-25471168	DNMT3A_Cds_16896581_UserDefined_(33446059)_52950487.1	2905
2:25470863-25471051	DNMT3A_Cds_16896581_UserDefined_(33446059)_52950488.1	2707
2:25458669-25458844	DNMT3A_Cds_16896618_UserDefined_(33381746)_52950846.1	4965
2:25458535-25458724	DNMT3A_Cds_16896618_UserDefined_(33381746)_52950847.1	7366
2:25472485-25472667	DNMT3A_Cds_16896766_UserDefined_(33446060)_52950489.1	9124
2:25457226-25457397	DNMT3A_Cds_16896784_UserDefined_(33381747)_52950844.1	5229
2:25457106-25457280	DNMT3A_Cds_16896784_UserDefined_(33381747)_52950845.1	3448
2:25469881-25470069	DNMT3A_Cds_16896970_UserDefined_(33446061)_52950486.1	1766
2:25468083-25468265	DNMT3A_Cds_16897364_UserDefined_(33381748)_52950849.1	3736
2:25497891-25498061	DNMT3A_Cds_16897557_UserDefined_(33446062)_52950491.1	2101
2:25497767-25497940	DNMT3A_Cds_16897557_UserDefined_(33446062)_52950492.1	2212
2:25461954-25462132	DNMT3A_Cds_16897605_UserDefined_(33381749)_52950848.1	8677
2:25470553-25470741	DNMT3A_Cds_16898674_UserDefined_(33446063)_52950560.1	1374
2:25470417-25470606	DNMT3A_Cds_16898674_UserDefined_(33446063)_52950561.1	4821
2:67048989-67049485	DNMT3A_Cds_16898674_UserDefined_(33446063)_52950561.DNMT3A+DNMT3A_UserDefined_(33446056)_52950478.2	0
2:25459754-25459926	DNMT3A_Cds_16898714_UserDefined_(33381750)_52950895.1	10027
2:25536741-25536930	DNMT3A_Cds_16899566_UserDefined_(33446064)_52950562.1	2012
7:148511148-148511330	EZH2__Exon_15_Cds_17070625_UserDefined_(33127344)_52950517.1	1790
7:148511016-148511195	EZH2__Exon_15_Cds_17070625_UserDefined_(33127344)_52950518.1	4606
7:148508684-148508867	EZH2__Exon_16_Cds_17068617_UserDefined_(33381769)_52950871.1	5933
7:148507390-148507566	EZH2__Exon_17_Cds_17069309_UserDefined_(33127346)_52950516.1	3352
7:148506250-148506432	EZH2__Exon_19+EZH2__Exon_18_UserDefined_(33381770)_52950850.1	2733
7:148506128-148506297	EZH2__Exon_19+EZH2__Exon_18_UserDefined_(33381770)_52950851.1	4415
7:148506378-148506565	EZH2__Exon_19+EZH2__Exon_18_UserDefined_(33381770)_52950852.1	2742
7:148504690-148504864	EZH2__Exon_20_Cds_17070741_UserDefined_(33127348)_52950566.1	554
4:153332497-153332670	FBXW7+FBXW7_UserDefined_(33381771)_52950555.1	8775
4:153332731-153332902	FBXW7+FBXW7_UserDefined_(33381771)_52950556.1	11545
4:153332379-153332553	FBXW7+FBXW7_UserDefined_(33381771)_52950557.1	2070
4:153332615-153332784	FBXW7+FBXW7_UserDefined_(33381771)_52950558.1	11785
4:153332849-153333031	FBXW7+FBXW7_UserDefined_(33381771)_52950559.1	8620
4:153249447-153249635	FBXW7_Cds_16997179_UserDefined_(33446076)_52951161.1	2034
4:153249315-153249503	FBXW7_Cds_16997179_UserDefined_(33446076)_52951162.1	3761
4:153253825-153254009	FBXW7_Cds_16997296_UserDefined_(33381772)_52950521.1	1233
4:153253699-153253879	FBXW7_Cds_16997296_UserDefined_(33381772)_52950522.1	795
4:153244115-153244288	FBXW7_Cds_16997876_UserDefined_(33446077)_52951180.1	3025
4:153243991-153244160	FBXW7_Cds_16997876_UserDefined_(33446077)_52951181.1	4218
4:153244235-153244415	FBXW7_Cds_16997876_UserDefined_(33446077)_52951182.1	2362
4:153273713-153273897	FBXW7_Cds_16998341_UserDefined_(33381773)_52950527.1	5007
4:153273579-153273766	FBXW7_Cds_16998341_UserDefined_(33381773)_52950528.1	2258
4:153273843-153274029	FBXW7_Cds_16998341_UserDefined_(33381773)_52950529.1	3852
4:153268161-153268337	FBXW7_Cds_16998753_UserDefined_(33446078)_52951165.1	2721
4:153268037-153268214	FBXW7_Cds_16998753_UserDefined_(33446078)_52951166.1	4959
4:153251971-153252151	FBXW7_Cds_16999053_UserDefined_(33381774)_52950519.1	2659
4:153251839-153252028	FBXW7_Cds_16999053_UserDefined_(33381774)_52950520.1	3493
4:153245425-153245607	FBXW7_Cds_17000028_UserDefined_(33446079)_52951156.1	1478
4:153245289-153245478	FBXW7_Cds_17000028_UserDefined_(33446079)_52951157.1	2732
4:153271193-153271362	FBXW7_Cds_17000856_UserDefined_(33089830)_52950525.1	5734
4:153271067-153271247	FBXW7_Cds_17000856_UserDefined_(33089830)_52950526.1	4580
4:153247241-153247413	FBXW7_Cds_17001128_UserDefined_(33446080)_52951158.1	17318
4:153247115-153247293	FBXW7_Cds_17001128_UserDefined_(33446080)_52951159.1	9023
4:153247359-153247531	FBXW7_Cds_17001128_UserDefined_(33446080)_52951160.1	8313
4:153259029-153259199	FBXW7_Cds_17001254_UserDefined_(33089832)_52950523.1	3394
4:153258909-153259083	FBXW7_Cds_17001254_UserDefined_(33089832)_52950524.1	5845
4:153250903-153251092	FBXW7_Cds_17001547_UserDefined_(33446081)_52951163.1	1525
4:153250777-153250957	FBXW7_Cds_17001547_UserDefined_(33446081)_52951164.1	1092
4:153303396-153303565	FBXW7_Cds_17002044_UserDefined_(33089834)_52950530.1	5234
4:153303284-153303453	FBXW7_Cds_17002044_UserDefined_(33089834)_52950531.1	4464
8:38275487-38275676	FGFR1_Exon_11_Cds_17077702_UserDefined_(33446082)_52951175.1	1553
8:38275355-38275540	FGFR1_Exon_11_Cds_17077702_UserDefined_(33446082)_52951176.1	2127
8:38274795-38274975	FGFR1_Exon_12_Cds_17079116_UserDefined_(33445938)_52950543.1	2071
8:38273481-38273652	FGFR1_Exon_13_Cds_17074361_UserDefined_(33446083)_52951173.1	1968
8:38273355-38273530	FGFR1_Exon_13_Cds_17074361_UserDefined_(33446083)_52951174.1	2328
8:38272168-38272337	FGFR1_Exon_15+FGFR1_Exon_14_UserDefined_(33445939)_52950512.1	3148
8:38272044-38272217	FGFR1_Exon_15+FGFR1_Exon_14_UserDefined_(33445939)_52950513.1	2180
8:38272284-38272470	FGFR1_Exon_15+FGFR1_Exon_14_UserDefined_(33445939)_52950514.1	2894
8:38271415-38271603	FGFR1_Exon_18+FGFR1_Exon_17+FGFR1_Exon_16_UserDefined_(33446084)_52950300.1	1416
8:38271671-38271846	FGFR1_Exon_18+FGFR1_Exon_17+FGFR1_Exon_16_UserDefined_(33446084)_52950301.1	3050
8:38271277-38271464	FGFR1_Exon_18+FGFR1_Exon_17+FGFR1_Exon_16_UserDefined_(33446084)_52950302.1	1828
8:38271551-38271725	FGFR1_Exon_18+FGFR1_Exon_17+FGFR1_Exon_16_UserDefined_(33446084)_52950303.1	2924
8:38285831-38286006	FGFR1_Exon_4+FGFR1_Exon_4_UserDefined_(33445940)_52950515.1	1353
13:28610039-28610215	FLT3__Exon_11_Cds_16771042_UserDefined_(33446094)_52950263.1	2956
13:28608111-28608294	FLT3__Exon_15+FLT3__Exon_14_UserDefined_(33446095)_52950853.1	2880
13:28607989-28608165	FLT3__Exon_15+FLT3__Exon_14_UserDefined_(33446095)_52950854.1	1277
13:28608239-28608409	FLT3__Exon_15+FLT3__Exon_14_UserDefined_(33446095)_52950855.1	2226
13:28602400-28602571	FLT3__Exon_16_Cds_16770758_UserDefined_(33089858)_52950273.1	6683
13:28602282-28602456	FLT3__Exon_16_Cds_16770758_UserDefined_(33089858)_52950274.1	3495
13:28601322-28601504	FLT3__Exon_17_Cds_16769202_UserDefined_(33089859)_52950875.1	5052
13:28601190-28601379	FLT3__Exon_17_Cds_16769202_UserDefined_(33089859)_52950876.1	10088
13:28598955-28599135	FLT3__Exon_18_Cds_16770619_UserDefined_(33089860)_52950268.1	1400
13:28597482-28597664	FLT3__Exon_19_Cds_16773285_UserDefined_(33089861)_52950873.1	6304
13:28597366-28597536	FLT3__Exon_19_Cds_16773285_UserDefined_(33089861)_52950874.1	5536
13:28592691-28592876	FLT3__Exon_20_Cds_16770538_UserDefined_(33089862)_52950264.1	8229
13:28592567-28592745	FLT3__Exon_20_Cds_16770538_UserDefined_(33089862)_52950265.1	4429
13:28589822-28589994	FLT3__Exon_21_Cds_16770190_UserDefined_(33089863)_52950877.1	2524
13:28589694-28589877	FLT3__Exon_21_Cds_16770190_UserDefined_(33089863)_52950878.1	3303
13:28589259-28589429	FLT3__Exon_22_Cds_16772090_UserDefined_(33089864)_52950283.1	1285
13:28588556-28588744	FLT3__Exon_23_Cds_16772363_UserDefined_(33089865)_52950872.1	2524
X:48649616-48649801	GATA1_Exon_2_Cds_17112074_UserDefined_(33089866)_52951177.1	2884
X:48649484-48649667	GATA1_Exon_2_Cds_17112074_UserDefined_(33089866)_52951178.1	2107
X:48650364-48650550	GATA1_Exon_3_Cds_17108841_UserDefined_(33089867)_52950889.1	3146
X:48650222-48650411	GATA1_Exon_3_Cds_17108841_UserDefined_(33089867)_52950890.1	1424
X:48650496-48650685	GATA1_Exon_3_Cds_17108841_UserDefined_(33089867)_52950891.1	3671
3:128204655-128204826	GATA2_Exon_3_Cds_16978497_UserDefined_(33089868)_52950317.1	2959
3:128204897-128205074	GATA2_Exon_3_Cds_16978497_UserDefined_(33089868)_52950318.1	5462
3:128205143-128205312	GATA2_Exon_3_Cds_16978497_UserDefined_(33089868)_52950319.1	4860
3:128204531-128204700	GATA2_Exon_3_Cds_16978497_UserDefined_(33089868)_52950320.1	1127
3:128204777-128204947	GATA2_Exon_3_Cds_16978497_UserDefined_(33089868)_52950321.1	5714
3:128205023-128205193	GATA2_Exon_3_Cds_16978497_UserDefined_(33089868)_52950322.1	2599
3:128202802-128202985	GATA2_Exon_4_Cds_16979148_UserDefined_(33089869)_52951154.1	3430
3:128202666-128202851	GATA2_Exon_4_Cds_16979148_UserDefined_(33089869)_52951155.1	2371
3:128200739-128200917	GATA2_Exon_5+GATA2_Exon_5_UserDefined_(33089870)_52950257.1	1436
3:128200617-128200789	GATA2_Exon_5+GATA2_Exon_5_UserDefined_(33089870)_52950258.1	433
3:128200126-128200302	GATA2_Exon_6_Cds_16973569_UserDefined_(33089871)_52951179.1	4094
11:534174-534359	HRAS_Exon_2_FiveUtrExon_16721451_UserDefined_(33381805)_52951143.1	2638
11:533867-534038	HRAS_Exon_3_Cds_16718507_UserDefined_(33089878)_52950277.1	4167
11:533735-533920	HRAS_Exon_3_Cds_16718507_UserDefined_(33089878)_52950278.1	5614
2:209113072-209113257	IDH1_Exon_4_Cds_16926475_UserDefined_(33381806)_52950323.1	4096
15:90631924-90632094	IDH2_Exon_4_Cds_16805122_UserDefined_(33089880)_52950287.1	5289
15:90631790-90631976	IDH2_Exon_4_Cds_16805122_UserDefined_(33089880)_52950288.1	2443
9:5069962-5070132	JAK2__Exon_12_Cds_17087712_UserDefined_(33089888)_52950909.1	5819
9:5069844-5070014	JAK2__Exon_12_Cds_17087712_UserDefined_(33089888)_52950910.1	3506
9:5073657-5073831	JAK2__Exon_14_Cds_17088454_UserDefined_(33446098)_52950911.1	793
9:5078377-5078553	JAK2__Exon_16_Cds_17089173_UserDefined_(33445965)_52950943.1	2655
9:5078259-5078431	JAK2__Exon_16_Cds_17089173_UserDefined_(33445965)_52950944.1	1549
4:55593463-55593639	KIT_Exon_10+KIT_Exon_11_UserDefined_(33370061)_52950419.1	3033
4:55593717-55593903	KIT_Exon_10+KIT_Exon_11_UserDefined_(33370061)_52950420.1	4520
4:55593351-55593522	KIT_Exon_10+KIT_Exon_11_UserDefined_(33370061)_52950421.1	4115
4:55593583-55593771	KIT_Exon_10+KIT_Exon_11_UserDefined_(33370061)_52950422.1	2863
4:55594082-55594260	KIT_Exon_12+KIT_Exon_13_UserDefined_(33446101)_52950416.1	2121
4:55593956-55594135	KIT_Exon_12+KIT_Exon_13_UserDefined_(33446101)_52950417.1	1778
4:55594206-55594384	KIT_Exon_12+KIT_Exon_13_UserDefined_(33446101)_52950418.1	4479
4:55595598-55595770	KIT_Exon_14_Cds_16994359_UserDefined_(33370062)_52950917.1	1255
4:55595468-55595652	KIT_Exon_14_Cds_16994359_UserDefined_(33370062)_52950918.1	2725
4:55597459-55597631	KIT_Exon_15_Cds_16994606_UserDefined_(33446102)_52950945.1	2641
4:55598122-55598308	KIT_Exon_16_Cds_16992138_UserDefined_(33370064)_52950946.1	3356
4:55598002-55598174	KIT_Exon_16_Cds_16992138_UserDefined_(33370064)_52950947.1	4901
4:55599319-55599503	KIT_Exon_17_Cds_16995847_UserDefined_(33446103)_52950913.1	3632
4:55599203-55599376	KIT_Exon_17_Cds_16995847_UserDefined_(33446103)_52950914.1	4200
4:55602631-55602811	KIT_Exon_18_Cds_16991377_UserDefined_(33370066)_52950938.1	1026
4:55589715-55589903	KIT_Exon_8_Cds_16992415_UserDefined_(33446104)_52950912.1	2551
4:55592106-55592280	KIT_Exon_9+KIT_Exon_9_UserDefined_(33370067)_52950324.1	3393
4:55591990-55592159	KIT_Exon_9+KIT_Exon_9_UserDefined_(33370067)_52950325.1	8812
12:25362805-25362975	KRAS_Cds_16746132_UserDefined_(33432334)_52950987.1	1625
12:25362685-25362862	KRAS_Cds_16746132_UserDefined_(33432334)_52950988.1	1541
12:25368463-25368647	KRAS_Cds_16746135_UserDefined_(33370069)_52950989.1	2880
12:25368343-25368517	KRAS_Cds_16746135_UserDefined_(33370069)_52950990.1	4132
12:25380207-25380389	KRAS_Cds_16746575_UserDefined_(33446105)_52950901.1	4330
12:25380087-25380260	KRAS_Cds_16746575_UserDefined_(33446105)_52950902.1	3919
12:25378637-25378817	KRAS_Cds_16746855_UserDefined_(33370071)_52950915.1	1109
12:25378511-25378693	KRAS_Cds_16746855_UserDefined_(33370071)_52950916.1	1292
12:25398243-25398415	KRAS_Cds_16749892_UserDefined_(33446106)_52951232.1	2027
12:25398123-25398296	KRAS_Cds_16749892_UserDefined_(33446106)_52951233.1	4148
15:66727464-66727635	MAP2K2_Exon_2_Cds_16800814_UserDefined_(33370073)_52950993.1	5163
15:66727334-66727518	MAP2K2_Exon_2_Cds_16800814_UserDefined_(33370073)_52950994.1	7999
15:66729167-66729353	MAP2K2_Exon_3_Cds_16803379_UserDefined_(33446107)_52951238.1	4382
15:66729049-66729220	MAP2K2_Exon_3_Cds_16803379_UserDefined_(33446107)_52951239.1	8176
15:66774184-66774373	MAP2K2_Exon_6_Cds_16800933_UserDefined_(33370075)_52950995.1	8478
15:66774058-66774239	MAP2K2_Exon_6_Cds_16800933_UserDefined_(33370075)_52950996.1	6666
11:118362000-118362182	MLL+MLL_UserDefined_(33089933)_52950903.1	4450
11:118361868-118362054	MLL+MLL_UserDefined_(33089933)_52950904.1	4275
11:118390414-118390598	MLL+MLL_UserDefined_(33446120)_52950905.1	6727
11:118390678-118390866	MLL+MLL_UserDefined_(33446120)_52950906.1	9512
11:118390292-118390463	MLL+MLL_UserDefined_(33446120)_52950907.1	11892
11:118390544-118390732	MLL+MLL_UserDefined_(33446120)_52950908.1	4104
11:118365352-118365534	MLL_Cds_16740612_UserDefined_(33089935)_52950925.1	1544
11:118370507-118370688	MLL_Cds_16740890_UserDefined_(33446121)_52950928.1	5105
11:118392090-118392278	MLL_Cds_16740925_UserDefined_(33089937)_52950931.1	6070
11:118391960-118392143	MLL_Cds_16740925_UserDefined_(33089937)_52950932.1	3040
11:118354985-118355165	MLL_Cds_16741074_UserDefined_(33446122)_52951003.1	3407
11:118354851-118355039	MLL_Cds_16741074_UserDefined_(33446122)_52951004.1	2736
11:118370105-118370290	MLL_Cds_16741077_UserDefined_(33089939)_52950926.1	3538
11:118369975-118370159	MLL_Cds_16741077_UserDefined_(33089939)_52950927.1	9900
11:118348761-118348945	MLL_Cds_16741078_UserDefined_(33446123)_52951000.1	11917
11:118348637-118348812	MLL_Cds_16741078_UserDefined_(33446123)_52951001.1	11662
11:118348891-118349065	MLL_Cds_16741078_UserDefined_(33446123)_52951002.1	10733
11:118362548-118362731	MLL_Cds_16741455_UserDefined_(33089941)_52950921.1	6510
11:118362414-118362601	MLL_Cds_16741455_UserDefined_(33089941)_52950922.1	3262
11:118379796-118379984	MLL_Cds_16741474_UserDefined_(33446124)_52950930.1	318
11:118365080-118365260	MLL_Cds_16741594_UserDefined_(33089943)_52950923.1	7251
11:118364956-118365136	MLL_Cds_16741594_UserDefined_(33089943)_52950924.1	2851
11:118360464-118360646	MLL_Cds_16741624_UserDefined_(33446125)_52950920.1	707
11:118339445-118339625	MLL_Cds_16741866_UserDefined_(33089945)_52950919.1	3828
11:118392685-118392866	MLL_Cds_16742097_UserDefined_(33446126)_52951005.1	12965
19:36229256-36229437	MLL_Cds_16742097_UserDefined_(33446126)_52951005.2	116
11:118392567-118392739	MLL_Cds_16742097_UserDefined_(33446126)_52951006.1	4587
11:118392809-118392981	MLL_Cds_16742097_UserDefined_(33446126)_52951007.1	7744
11:118378201-118378383	MLL_Cds_16742248_UserDefined_(33089947)_52950929.1	1124
11:118369174-118369348	MLL_Cds_16742694_UserDefined_(33446127)_52951227.1	4585
11:118369040-118369226	MLL_Cds_16742694_UserDefined_(33446127)_52951228.1	2341
11:118371697-118371873	MLL_Cds_16742833_Overcoverage_Cds_16742833_UserDefined_(33446128)_52951010.1	3328
11:118371585-118371754	MLL_Cds_16742833_Overcoverage_Cds_16742833_UserDefined_(33446128)_52951011.1	9474
11:118391458-118391644	MLL_Cds_16743176_UserDefined_(33446129)_52951231.1	2390
11:118307104-118307273	MLL_Cds_16743186_Overcoverage_Cds_16743186_UserDefined_(33381819)_52950584.1	84
11:118307330-118307513	MLL_Cds_16743186_Overcoverage_Cds_16743186_UserDefined_(33381819)_52950585.1	654
11:118307588-118307762	MLL_Cds_16743186_Overcoverage_Cds_16743186_UserDefined_(33381819)_52950586.1	2219
11:118307460-118307637	MLL_Cds_16743186_Overcoverage_Cds_16743186_UserDefined_(33381819)_52950587.1	2442
11:118350826-118351008	MLL_Cds_16743279_UserDefined_(33381820)_52951221.1	1133
11:118372462-118372634	MLL_Cds_16743385_UserDefined_(33381821)_52950651.1	2301
11:118372342-118372515	MLL_Cds_16743385_UserDefined_(33381821)_52950652.1	3137
11:118380736-118380922	MLL_Cds_16743609_UserDefined_(33381822)_52951229.1	1388
11:118380620-118380793	MLL_Cds_16743609_UserDefined_(33381822)_52951230.1	1986
11:118363851-118364027	MLL_Cds_16743704_UserDefined_(33381823)_52950645.1	4925
11:118363727-118363905	MLL_Cds_16743704_UserDefined_(33381823)_52950646.1	1459
11:118342348-118342518	MLL_Cds_16743743_UserDefined_(33381824)_52951191.1	5110
11:118342568-118342738	MLL_Cds_16743743_UserDefined_(33381824)_52951192.1	17287
