Position	Probe	MeanCoverage
20:31024174-31024344	ASXL1_Cds_16936954_UserDefined_(33127266)_52950160.1	7941
20:31024376-31024545	ASXL1_Cds_16936954_UserDefined_(33127266)_52950161.1	7866
20:31024612-31024781	ASXL1_Cds_16936954_UserDefined_(33127266)_52950162.1	11152
20:31024838-31025009	ASXL1_Cds_16936954_UserDefined_(33127266)_52950163.1	5360
20:31025078-31025258	ASXL1_Cds_16936954_UserDefined_(33127266)_52950164.1	2327
20:31022118-31022287	ASXL1_Cds_16936954_UserDefined_(33127266)_52950165.1	6780
20:31022356-31022525	ASXL1_Cds_16936954_UserDefined_(33127266)_52950166.1	3030
20:31022562-31022731	ASXL1_Cds_16936954_UserDefined_(33127266)_52950167.1	7341
20:31022770-31022939	ASXL1_Cds_16936954_UserDefined_(33127266)_52950168.1	8314
20:31022970-31023139	ASXL1_Cds_16936954_UserDefined_(33127266)_52950169.1	14842
20:31023142-31023311	ASXL1_Cds_16936954_UserDefined_(33127266)_52950170.1	15632
20:31023318-31023487	ASXL1_Cds_16936954_UserDefined_(33127266)_52950171.1	9912
20:31023506-31023675	ASXL1_Cds_16936954_UserDefined_(33127266)_52950172.1	10093
20:31023712-31023881	ASXL1_Cds_16936954_UserDefined_(33127266)_52950173.1	11490
20:31023910-31024079	ASXL1_Cds_16936954_UserDefined_(33127266)_52950174.1	11207
20:31024090-31024260	ASXL1_Cds_16936954_UserDefined_(33127266)_52950175.1	11115
20:31024290-31024459	ASXL1_Cds_16936954_UserDefined_(33127266)_52950176.1	7923
20:31024496-31024666	ASXL1_Cds_16936954_UserDefined_(33127266)_52950177.1	9169
20:31024728-31024897	ASXL1_Cds_16936954_UserDefined_(33127266)_52950178.1	9283
20:31024958-31025132	ASXL1_Cds_16936954_UserDefined_(33127266)_52950179.1	6223
20:30956888-30957062	ASXL1_Cds_16937472_UserDefined_(33446039)_52950803.1	6123
20:30956772-30956943	ASXL1_Cds_16937472_UserDefined_(33446039)_52950804.1	4011
20:31020760-31020948	ASXL1_Cds_16937713_UserDefined_(33127268)_52950180.1	2556
20:31020636-31020812	ASXL1_Cds_16937713_UserDefined_(33127268)_52950181.1	3731
20:31017797-31017977	ASXL1_Cds_16937823_UserDefined_(33446040)_52950805.1	5816
20:31017661-31017845	ASXL1_Cds_16937823_UserDefined_(33446040)_52950806.1	2767
20:30954140-30954326	ASXL1_Cds_16938447_UserDefined_(33127270)_52950182.1	3656
20:30959920-30960090	ASXL1_Cds_16938737_UserDefined_(33446041)_52950807.1	2827
11:119146790-119146960	CBL_exon_6_Cds_16743449_UserDefined_(33369617)_52950239.1	2875
11:119146672-119146844	CBL_exon_6_Cds_16743449_UserDefined_(33369617)_52950240.1	3621
11:119148434-119148610	CBL_exon_7_Cds_16740907_UserDefined_(33446047)_52950241.1	896
11:119148911-119149094	CBL_exon_8_Cds_16741577_UserDefined_(33369618)_52950242.1	1714
11:119148789-119148967	CBL_exon_8_Cds_16741577_UserDefined_(33369618)_52950243.1	1264
11:119149311-119149489	CBL_exon_9_Cds_16740979_UserDefined_(33446048)_52950244.1	2176
11:119149185-119149363	CBL_exon_9_Cds_16740979_UserDefined_(33446048)_52950245.1	2884
1:36932166-36932346	CSF3R_Exon_14+CSF3R_Exon_14+CSF3R_Exon_14_UserDefined_(33446049)_52950218.1	4819
1:36932412-36932590	CSF3R_Exon_14+CSF3R_Exon_14+CSF3R_Exon_14_UserDefined_(33446049)_52950219.1	6586
1:36932038-36932217	CSF3R_Exon_14+CSF3R_Exon_14+CSF3R_Exon_14_UserDefined_(33446049)_52950220.1	1919
1:36932296-36932466	CSF3R_Exon_14+CSF3R_Exon_14+CSF3R_Exon_14_UserDefined_(33446049)_52950221.1	11188
1:36933516-36933697	CSF3R_Exon_15_Cds_16655330_UserDefined_(33369620)_52950196.1	2466
1:36933390-36933561	CSF3R_Exon_15_Cds_16655330_UserDefined_(33369620)_52950197.1	10054
1:36933160-36933341	CSF3R_Exon_17_Cds_16657377_UserDefined_(33446050)_52950235.1	3830
2:25466740-25466911	DNMT3A+DNMT3A+DNMT3A_UserDefined_(32935754)_52950467.1	9537
2:25466934-25467105	DNMT3A+DNMT3A+DNMT3A_UserDefined_(32935754)_52950468.1	17994
2:25467106-25467280	DNMT3A+DNMT3A+DNMT3A_UserDefined_(32935754)_52950469.1	12608
2:25467352-25467524	DNMT3A+DNMT3A+DNMT3A_UserDefined_(32935754)_52950470.1	9140
2:25466624-25466794	DNMT3A+DNMT3A+DNMT3A_UserDefined_(32935754)_52950471.1	2951
2:25466834-25467003	DNMT3A+DNMT3A+DNMT3A_UserDefined_(32935754)_52950472.1	13273
2:25467020-25467189	DNMT3A+DNMT3A+DNMT3A_UserDefined_(32935754)_52950473.1	17542
2:25467216-25467401	DNMT3A+DNMT3A+DNMT3A_UserDefined_(32935754)_52950474.1	4935
2:25467470-25467646	DNMT3A+DNMT3A+DNMT3A_UserDefined_(32935754)_52950475.1	7645
2:25463258-25463447	DNMT3A+DNMT3A_UserDefined_(33369625)_52950463.1	2875
2:25463530-25463712	DNMT3A+DNMT3A_UserDefined_(33369625)_52950464.1	3861
2:25463126-25463306	DNMT3A+DNMT3A_UserDefined_(33369625)_52950465.1	2514
2:25463396-25463582	DNMT3A+DNMT3A_UserDefined_(33369625)_52950466.1	5503
2:25505341-25505526	DNMT3A+DNMT3A_UserDefined_(33381742)_52950479.1	4940
2:25505215-25505392	DNMT3A+DNMT3A_UserDefined_(33381742)_52950480.1	7816
2:25505473-25505643	DNMT3A+DNMT3A_UserDefined_(33381742)_52950481.1	2397
2:25468962-25469143	DNMT3A+DNMT3A_UserDefined_(33446056)_52950476.1	4343
2:25468844-25469015	DNMT3A+DNMT3A_UserDefined_(33446056)_52950477.1	4174
2:25469092-25469278	DNMT3A+DNMT3A_UserDefined_(33446056)_52950478.1	8433
2:25498326-25498514	DNMT3A_Cds_16893691_UserDefined_(33381743)_52950493.1	4149
2:25523099-25523286	DNMT3A_Cds_16893882_UserDefined_(33446057)_52950494.1	2327
2:25522963-25523151	DNMT3A_Cds_16893882_UserDefined_(33446057)_52950495.1	862
2:25469582-25469765	DNMT3A_Cds_16894803_UserDefined_(33381744)_52950484.1	4026
2:25469450-25469629	DNMT3A_Cds_16894803_UserDefined_(33381744)_52950485.1	4081
2:25464524-25464712	DNMT3A_Cds_16895092_UserDefined_(33446058)_52950482.1	5000
2:25464390-25464573	DNMT3A_Cds_16895092_UserDefined_(33446058)_52950483.1	5487
2:25474956-25475145	DNMT3A_Cds_16896553_UserDefined_(33381745)_52950490.1	1225
2:25470999-25471168	DNMT3A_Cds_16896581_UserDefined_(33446059)_52950487.1	2296
2:25470863-25471051	DNMT3A_Cds_16896581_UserDefined_(33446059)_52950488.1	2499
2:25458669-25458844	DNMT3A_Cds_16896618_UserDefined_(33381746)_52950846.1	4439
2:25458535-25458724	DNMT3A_Cds_16896618_UserDefined_(33381746)_52950847.1	4793
2:25472485-25472667	DNMT3A_Cds_16896766_UserDefined_(33446060)_52950489.1	8774
2:25457226-25457397	DNMT3A_Cds_16896784_UserDefined_(33381747)_52950844.1	5323
2:25457106-25457280	DNMT3A_Cds_16896784_UserDefined_(33381747)_52950845.1	3528
2:25469881-25470069	DNMT3A_Cds_16896970_UserDefined_(33446061)_52950486.1	1690
2:25468083-25468265	DNMT3A_Cds_16897364_UserDefined_(33381748)_52950849.1	3600
2:25497891-25498061	DNMT3A_Cds_16897557_UserDefined_(33446062)_52950491.1	1737
2:25497767-25497940	DNMT3A_Cds_16897557_UserDefined_(33446062)_52950492.1	2119
2:25461954-25462132	DNMT3A_Cds_16897605_UserDefined_(33381749)_52950848.1	8338
2:25470553-25470741	DNMT3A_Cds_16898674_UserDefined_(33446063)_52950560.1	1350
2:25470417-25470606	DNMT3A_Cds_16898674_UserDefined_(33446063)_52950561.1	4587
2:67048989-67049485	DNMT3A_Cds_16898674_UserDefined_(33446063)_52950561.DNMT3A+DNMT3A_UserDefined_(33446056)_52950478.2	0
2:25459754-25459926	DNMT3A_Cds_16898714_UserDefined_(33381750)_52950895.1	9882
2:25536741-25536930	DNMT3A_Cds_16899566_UserDefined_(33446064)_52950562.1	1919
7:148511148-148511330	EZH2__Exon_15_Cds_17070625_UserDefined_(33127344)_52950517.1	1666
7:148511016-148511195	EZH2__Exon_15_Cds_17070625_UserDefined_(33127344)_52950518.1	3681
7:148508684-148508867	EZH2__Exon_16_Cds_17068617_UserDefined_(33381769)_52950871.1	5441
7:148507390-148507566	EZH2__Exon_17_Cds_17069309_UserDefined_(33127346)_52950516.1	2881
7:148506250-148506432	EZH2__Exon_19+EZH2__Exon_18_UserDefined_(33381770)_52950850.1	1954
7:148506128-148506297	EZH2__Exon_19+EZH2__Exon_18_UserDefined_(33381770)_52950851.1	3113
7:148506378-148506565	EZH2__Exon_19+EZH2__Exon_18_UserDefined_(33381770)_52950852.1	1384
7:148504690-148504864	EZH2__Exon_20_Cds_17070741_UserDefined_(33127348)_52950566.1	180
4:153332497-153332670	FBXW7+FBXW7_UserDefined_(33381771)_52950555.1	6080
4:153332731-153332902	FBXW7+FBXW7_UserDefined_(33381771)_52950556.1	9357
4:153332379-153332553	FBXW7+FBXW7_UserDefined_(33381771)_52950557.1	1449
4:153332615-153332784	FBXW7+FBXW7_UserDefined_(33381771)_52950558.1	9012
4:153332849-153333031	FBXW7+FBXW7_UserDefined_(33381771)_52950559.1	6932
4:153249447-153249635	FBXW7_Cds_16997179_UserDefined_(33446076)_52951161.1	1746
4:153249315-153249503	FBXW7_Cds_16997179_UserDefined_(33446076)_52951162.1	2856
4:153253825-153254009	FBXW7_Cds_16997296_UserDefined_(33381772)_52950521.1	854
4:153253699-153253879	FBXW7_Cds_16997296_UserDefined_(33381772)_52950522.1	563
4:153244115-153244288	FBXW7_Cds_16997876_UserDefined_(33446077)_52951180.1	1873
4:153243991-153244160	FBXW7_Cds_16997876_UserDefined_(33446077)_52951181.1	2920
4:153244235-153244415	FBXW7_Cds_16997876_UserDefined_(33446077)_52951182.1	1441
4:153273713-153273897	FBXW7_Cds_16998341_UserDefined_(33381773)_52950527.1	3502
4:153273579-153273766	FBXW7_Cds_16998341_UserDefined_(33381773)_52950528.1	1616
4:153273843-153274029	FBXW7_Cds_16998341_UserDefined_(33381773)_52950529.1	3200
4:153268161-153268337	FBXW7_Cds_16998753_UserDefined_(33446078)_52951165.1	2082
4:153268037-153268214	FBXW7_Cds_16998753_UserDefined_(33446078)_52951166.1	4011
4:153251971-153252151	FBXW7_Cds_16999053_UserDefined_(33381774)_52950519.1	1812
4:153251839-153252028	FBXW7_Cds_16999053_UserDefined_(33381774)_52950520.1	2761
4:153245425-153245607	FBXW7_Cds_17000028_UserDefined_(33446079)_52951156.1	1102
4:153245289-153245478	FBXW7_Cds_17000028_UserDefined_(33446079)_52951157.1	2040
4:153271193-153271362	FBXW7_Cds_17000856_UserDefined_(33089830)_52950525.1	3759
4:153271067-153271247	FBXW7_Cds_17000856_UserDefined_(33089830)_52950526.1	3240
4:153247241-153247413	FBXW7_Cds_17001128_UserDefined_(33446080)_52951158.1	10977
4:153247115-153247293	FBXW7_Cds_17001128_UserDefined_(33446080)_52951159.1	6633
4:153247359-153247531	FBXW7_Cds_17001128_UserDefined_(33446080)_52951160.1	5289
4:153259029-153259199	FBXW7_Cds_17001254_UserDefined_(33089832)_52950523.1	2665
4:153258909-153259083	FBXW7_Cds_17001254_UserDefined_(33089832)_52950524.1	3817
4:153250903-153251092	FBXW7_Cds_17001547_UserDefined_(33446081)_52951163.1	1165
4:153250777-153250957	FBXW7_Cds_17001547_UserDefined_(33446081)_52951164.1	892
4:153303396-153303565	FBXW7_Cds_17002044_UserDefined_(33089834)_52950530.1	3507
4:153303284-153303453	FBXW7_Cds_17002044_UserDefined_(33089834)_52950531.1	3184
8:38275487-38275676	FGFR1_Exon_11_Cds_17077702_UserDefined_(33446082)_52951175.1	1428
8:38275355-38275540	FGFR1_Exon_11_Cds_17077702_UserDefined_(33446082)_52951176.1	1984
8:38274795-38274975	FGFR1_Exon_12_Cds_17079116_UserDefined_(33445938)_52950543.1	1844
8:38273481-38273652	FGFR1_Exon_13_Cds_17074361_UserDefined_(33446083)_52951173.1	1847
8:38273355-38273530	FGFR1_Exon_13_Cds_17074361_UserDefined_(33446083)_52951174.1	2311
8:38272168-38272337	FGFR1_Exon_15+FGFR1_Exon_14_UserDefined_(33445939)_52950512.1	3219
8:38272044-38272217	FGFR1_Exon_15+FGFR1_Exon_14_UserDefined_(33445939)_52950513.1	1766
8:38272284-38272470	FGFR1_Exon_15+FGFR1_Exon_14_UserDefined_(33445939)_52950514.1	2891
8:38271415-38271603	FGFR1_Exon_18+FGFR1_Exon_17+FGFR1_Exon_16_UserDefined_(33446084)_52950300.1	1209
8:38271671-38271846	FGFR1_Exon_18+FGFR1_Exon_17+FGFR1_Exon_16_UserDefined_(33446084)_52950301.1	2710
8:38271277-38271464	FGFR1_Exon_18+FGFR1_Exon_17+FGFR1_Exon_16_UserDefined_(33446084)_52950302.1	1550
8:38271551-38271725	FGFR1_Exon_18+FGFR1_Exon_17+FGFR1_Exon_16_UserDefined_(33446084)_52950303.1	2588
8:38285831-38286006	FGFR1_Exon_4+FGFR1_Exon_4_UserDefined_(33445940)_52950515.1	1029
13:28610039-28610215	FLT3__Exon_11_Cds_16771042_UserDefined_(33446094)_52950263.1	1435
13:28608111-28608294	FLT3__Exon_15+FLT3__Exon_14_UserDefined_(33446095)_52950853.1	2724
13:28607989-28608165	FLT3__Exon_15+FLT3__Exon_14_UserDefined_(33446095)_52950854.1	1279
13:28608239-28608409	FLT3__Exon_15+FLT3__Exon_14_UserDefined_(33446095)_52950855.1	2185
13:28602400-28602571	FLT3__Exon_16_Cds_16770758_UserDefined_(33089858)_52950273.1	6022
13:28602282-28602456	FLT3__Exon_16_Cds_16770758_UserDefined_(33089858)_52950274.1	3069
13:28601322-28601504	FLT3__Exon_17_Cds_16769202_UserDefined_(33089859)_52950875.1	5289
13:28601190-28601379	FLT3__Exon_17_Cds_16769202_UserDefined_(33089859)_52950876.1	10264
13:28598955-28599135	FLT3__Exon_18_Cds_16770619_UserDefined_(33089860)_52950268.1	1140
13:28597482-28597664	FLT3__Exon_19_Cds_16773285_UserDefined_(33089861)_52950873.1	6036
13:28597366-28597536	FLT3__Exon_19_Cds_16773285_UserDefined_(33089861)_52950874.1	5226
13:28592691-28592876	FLT3__Exon_20_Cds_16770538_UserDefined_(33089862)_52950264.1	7731
13:28592567-28592745	FLT3__Exon_20_Cds_16770538_UserDefined_(33089862)_52950265.1	3847
13:28589822-28589994	FLT3__Exon_21_Cds_16770190_UserDefined_(33089863)_52950877.1	2551
13:28589694-28589877	FLT3__Exon_21_Cds_16770190_UserDefined_(33089863)_52950878.1	3102
13:28589259-28589429	FLT3__Exon_22_Cds_16772090_UserDefined_(33089864)_52950283.1	3679
13:28588556-28588744	FLT3__Exon_23_Cds_16772363_UserDefined_(33089865)_52950872.1	2612
X:48649616-48649801	GATA1_Exon_2_Cds_17112074_UserDefined_(33089866)_52951177.1	5113
X:48649484-48649667	GATA1_Exon_2_Cds_17112074_UserDefined_(33089866)_52951178.1	4097
X:48650364-48650550	GATA1_Exon_3_Cds_17108841_UserDefined_(33089867)_52950889.1	5196
X:48650222-48650411	GATA1_Exon_3_Cds_17108841_UserDefined_(33089867)_52950890.1	2243
X:48650496-48650685	GATA1_Exon_3_Cds_17108841_UserDefined_(33089867)_52950891.1	5815
3:128204655-128204826	GATA2_Exon_3_Cds_16978497_UserDefined_(33089868)_52950317.1	2547
3:128204897-128205074	GATA2_Exon_3_Cds_16978497_UserDefined_(33089868)_52950318.1	4050
3:128205143-128205312	GATA2_Exon_3_Cds_16978497_UserDefined_(33089868)_52950319.1	4287
3:128204531-128204700	GATA2_Exon_3_Cds_16978497_UserDefined_(33089868)_52950320.1	892
3:128204777-128204947	GATA2_Exon_3_Cds_16978497_UserDefined_(33089868)_52950321.1	4636
3:128205023-128205193	GATA2_Exon_3_Cds_16978497_UserDefined_(33089868)_52950322.1	2061
3:128202802-128202985	GATA2_Exon_4_Cds_16979148_UserDefined_(33089869)_52951154.1	2628
3:128202666-128202851	GATA2_Exon_4_Cds_16979148_UserDefined_(33089869)_52951155.1	1961
3:128200739-128200917	GATA2_Exon_5+GATA2_Exon_5_UserDefined_(33089870)_52950257.1	1101
3:128200617-128200789	GATA2_Exon_5+GATA2_Exon_5_UserDefined_(33089870)_52950258.1	345
3:128200126-128200302	GATA2_Exon_6_Cds_16973569_UserDefined_(33089871)_52951179.1	3103
11:534174-534359	HRAS_Exon_2_FiveUtrExon_16721451_UserDefined_(33381805)_52951143.1	2566
11:533867-534038	HRAS_Exon_3_Cds_16718507_UserDefined_(33089878)_52950277.1	4185
11:533735-533920	HRAS_Exon_3_Cds_16718507_UserDefined_(33089878)_52950278.1	5324
2:209113072-209113257	IDH1_Exon_4_Cds_16926475_UserDefined_(33381806)_52950323.1	3751
15:90631924-90632094	IDH2_Exon_4_Cds_16805122_UserDefined_(33089880)_52950287.1	5442
15:90631790-90631976	IDH2_Exon_4_Cds_16805122_UserDefined_(33089880)_52950288.1	2458
9:5069962-5070132	JAK2__Exon_12_Cds_17087712_UserDefined_(33089888)_52950909.1	4669
9:5069844-5070014	JAK2__Exon_12_Cds_17087712_UserDefined_(33089888)_52950910.1	2976
9:5073657-5073831	JAK2__Exon_14_Cds_17088454_UserDefined_(33446098)_52950911.1	733
9:5078377-5078553	JAK2__Exon_16_Cds_17089173_UserDefined_(33445965)_52950943.1	1893
9:5078259-5078431	JAK2__Exon_16_Cds_17089173_UserDefined_(33445965)_52950944.1	1154
4:55593463-55593639	KIT_Exon_10+KIT_Exon_11_UserDefined_(33370061)_52950419.1	2539
4:55593717-55593903	KIT_Exon_10+KIT_Exon_11_UserDefined_(33370061)_52950420.1	3404
4:55593351-55593522	KIT_Exon_10+KIT_Exon_11_UserDefined_(33370061)_52950421.1	3136
4:55593583-55593771	KIT_Exon_10+KIT_Exon_11_UserDefined_(33370061)_52950422.1	2314
4:55594082-55594260	KIT_Exon_12+KIT_Exon_13_UserDefined_(33446101)_52950416.1	1989
4:55593956-55594135	KIT_Exon_12+KIT_Exon_13_UserDefined_(33446101)_52950417.1	1655
4:55594206-55594384	KIT_Exon_12+KIT_Exon_13_UserDefined_(33446101)_52950418.1	4082
4:55595598-55595770	KIT_Exon_14_Cds_16994359_UserDefined_(33370062)_52950917.1	896
4:55595468-55595652	KIT_Exon_14_Cds_16994359_UserDefined_(33370062)_52950918.1	1780
4:55597459-55597631	KIT_Exon_15_Cds_16994606_UserDefined_(33446102)_52950945.1	2196
4:55598122-55598308	KIT_Exon_16_Cds_16992138_UserDefined_(33370064)_52950946.1	2584
4:55598002-55598174	KIT_Exon_16_Cds_16992138_UserDefined_(33370064)_52950947.1	3579
4:55599319-55599503	KIT_Exon_17_Cds_16995847_UserDefined_(33446103)_52950913.1	2908
4:55599203-55599376	KIT_Exon_17_Cds_16995847_UserDefined_(33446103)_52950914.1	3006
4:55602631-55602811	KIT_Exon_18_Cds_16991377_UserDefined_(33370066)_52950938.1	732
4:55589715-55589903	KIT_Exon_8_Cds_16992415_UserDefined_(33446104)_52950912.1	1762
4:55592106-55592280	KIT_Exon_9+KIT_Exon_9_UserDefined_(33370067)_52950324.1	2991
4:55591990-55592159	KIT_Exon_9+KIT_Exon_9_UserDefined_(33370067)_52950325.1	7007
12:25362805-25362975	KRAS_Cds_16746132_UserDefined_(33432334)_52950987.1	1348
12:25362685-25362862	KRAS_Cds_16746132_UserDefined_(33432334)_52950988.1	1276
12:25368463-25368647	KRAS_Cds_16746135_UserDefined_(33370069)_52950989.1	2532
12:25368343-25368517	KRAS_Cds_16746135_UserDefined_(33370069)_52950990.1	3370
12:25380207-25380389	KRAS_Cds_16746575_UserDefined_(33446105)_52950901.1	3323
12:25380087-25380260	KRAS_Cds_16746575_UserDefined_(33446105)_52950902.1	2791
12:25378637-25378817	KRAS_Cds_16746855_UserDefined_(33370071)_52950915.1	1002
12:25378511-25378693	KRAS_Cds_16746855_UserDefined_(33370071)_52950916.1	1027
12:25398243-25398415	KRAS_Cds_16749892_UserDefined_(33446106)_52951232.1	1638
12:25398123-25398296	KRAS_Cds_16749892_UserDefined_(33446106)_52951233.1	3485
15:66727464-66727635	MAP2K2_Exon_2_Cds_16800814_UserDefined_(33370073)_52950993.1	4521
15:66727334-66727518	MAP2K2_Exon_2_Cds_16800814_UserDefined_(33370073)_52950994.1	6628
15:66729167-66729353	MAP2K2_Exon_3_Cds_16803379_UserDefined_(33446107)_52951238.1	3807
15:66729049-66729220	MAP2K2_Exon_3_Cds_16803379_UserDefined_(33446107)_52951239.1	6692
15:66774184-66774373	MAP2K2_Exon_6_Cds_16800933_UserDefined_(33370075)_52950995.1	7668
15:66774058-66774239	MAP2K2_Exon_6_Cds_16800933_UserDefined_(33370075)_52950996.1	6356
11:118362000-118362182	MLL+MLL_UserDefined_(33089933)_52950903.1	3294
11:118361868-118362054	MLL+MLL_UserDefined_(33089933)_52950904.1	3445
11:118390414-118390598	MLL+MLL_UserDefined_(33446120)_52950905.1	6080
11:118390678-118390866	MLL+MLL_UserDefined_(33446120)_52950906.1	9354
11:118390292-118390463	MLL+MLL_UserDefined_(33446120)_52950907.1	10871
11:118390544-118390732	MLL+MLL_UserDefined_(33446120)_52950908.1	3850
11:118365352-118365534	MLL_Cds_16740612_UserDefined_(33089935)_52950925.1	833
11:118370507-118370688	MLL_Cds_16740890_UserDefined_(33446121)_52950928.1	4287
11:118392090-118392278	MLL_Cds_16740925_UserDefined_(33089937)_52950931.1	5439
11:118391960-118392143	MLL_Cds_16740925_UserDefined_(33089937)_52950932.1	2917
11:118354985-118355165	MLL_Cds_16741074_UserDefined_(33446122)_52951003.1	2986
11:118354851-118355039	MLL_Cds_16741074_UserDefined_(33446122)_52951004.1	2139
11:118370105-118370290	MLL_Cds_16741077_UserDefined_(33089939)_52950926.1	2917
11:118369975-118370159	MLL_Cds_16741077_UserDefined_(33089939)_52950927.1	8849
11:118348761-118348945	MLL_Cds_16741078_UserDefined_(33446123)_52951000.1	9884
11:118348637-118348812	MLL_Cds_16741078_UserDefined_(33446123)_52951001.1	9973
11:118348891-118349065	MLL_Cds_16741078_UserDefined_(33446123)_52951002.1	8930
11:118362548-118362731	MLL_Cds_16741455_UserDefined_(33089941)_52950921.1	4914
11:118362414-118362601	MLL_Cds_16741455_UserDefined_(33089941)_52950922.1	3071
11:118379796-118379984	MLL_Cds_16741474_UserDefined_(33446124)_52950930.1	216
11:118365080-118365260	MLL_Cds_16741594_UserDefined_(33089943)_52950923.1	6075
11:118364956-118365136	MLL_Cds_16741594_UserDefined_(33089943)_52950924.1	2418
11:118360464-118360646	MLL_Cds_16741624_UserDefined_(33446125)_52950920.1	518
11:118339445-118339625	MLL_Cds_16741866_UserDefined_(33089945)_52950919.1	3322
11:118392685-118392866	MLL_Cds_16742097_UserDefined_(33446126)_52951005.1	11581
19:36229256-36229437	MLL_Cds_16742097_UserDefined_(33446126)_52951005.2	81
11:118392567-118392739	MLL_Cds_16742097_UserDefined_(33446126)_52951006.1	4091
11:118392809-118392981	MLL_Cds_16742097_UserDefined_(33446126)_52951007.1	6186
11:118378201-118378383	MLL_Cds_16742248_UserDefined_(33089947)_52950929.1	690
11:118369174-118369348	MLL_Cds_16742694_UserDefined_(33446127)_52951227.1	3109
11:118369040-118369226	MLL_Cds_16742694_UserDefined_(33446127)_52951228.1	1875
11:118371697-118371873	MLL_Cds_16742833_Overcoverage_Cds_16742833_UserDefined_(33446128)_52951010.1	2958
11:118371585-118371754	MLL_Cds_16742833_Overcoverage_Cds_16742833_UserDefined_(33446128)_52951011.1	8479
11:118391458-118391644	MLL_Cds_16743176_UserDefined_(33446129)_52951231.1	2270
11:118307104-118307273	MLL_Cds_16743186_Overcoverage_Cds_16743186_UserDefined_(33381819)_52950584.1	81
11:118307330-118307513	MLL_Cds_16743186_Overcoverage_Cds_16743186_UserDefined_(33381819)_52950585.1	442
11:118307588-118307762	MLL_Cds_16743186_Overcoverage_Cds_16743186_UserDefined_(33381819)_52950586.1	1358
11:118307460-118307637	MLL_Cds_16743186_Overcoverage_Cds_16743186_UserDefined_(33381819)_52950587.1	1773
11:118350826-118351008	MLL_Cds_16743279_UserDefined_(33381820)_52951221.1	539
11:118372462-118372634	MLL_Cds_16743385_UserDefined_(33381821)_52950651.1	1911
11:118372342-118372515	MLL_Cds_16743385_UserDefined_(33381821)_52950652.1	2459
11:118380736-118380922	MLL_Cds_16743609_UserDefined_(33381822)_52951229.1	1218
11:118380620-118380793	MLL_Cds_16743609_UserDefined_(33381822)_52951230.1	1694
11:118363851-118364027	MLL_Cds_16743704_UserDefined_(33381823)_52950645.1	4043
11:118363727-118363905	MLL_Cds_16743704_UserDefined_(33381823)_52950646.1	1149
11:118342348-118342518	MLL_Cds_16743743_UserDefined_(33381824)_52951191.1	4175
11:118342568-118342738	MLL_Cds_16743743_UserDefined_(33381824)_52951192.1	12307
11:118342742-118342911	MLL_Cds_16743743_UserDefined_(33381824)_52951193.1	13032
