GENES FAILING QC:
Gene	Chromosome	Start	Stop	Average_Read_Depth	Stdev_Read_Depth	Ave_Adjusted_Log_Ratio	Stdev_Adjusted_Log_Ratio
NRP2	chr2	206547223	206662857	204.6935	16.2370523263923	0.382906248045447	0.0971397324351038
NTRK1	chr1	156785541	156851642	235.13751552795	134.100331554891	0.125118770412848	0.133828031073603
PAK1	chr11	77033059	77185108	280.035690265487	120.76136507699	0.257540642281826	0.125333516247562
PALB2	chr16	23614482	23652678	321.141975609756	113.638250112618	0.24491407848544	0.129828209127855
PAX5	chr9	36833271	37034476	127.268130434783	58.6839801033093	-0.129933623095043	0.174287151789427
PBRM1	chr3	52579367	52719866	264.97	88.0894696765773	0.286807536621049	0.14492671919839
PDGFRA	chr4	55095263	55164412	225.934060869565	49.9423258705631	-0.080119867707434	0.123625768396354
PDGFRB	chr5	149493401	149535422	175.769824561403	69.939760054102	0.194906720821446	0.150179912317354
PHF6	chrX	133507341	133562822	137.810897058824	49.6912984800806	-0.517134818258369	0.176205226522322
PIK3CA	chr3	178866310	178952497	163.851132075472	53.2256662661269	-0.0499105628806077	0.144918891679722
PIK3R1	chr5	67511583	67597649	322.454767195767	113.030230974351	0.357688774354331	0.390875232249489
PLK1	chr16	23690200	23701688	236.100086956522	75.6911372545755	0.095411945270522	0.174974982160271
PLK2	chr5	57749809	57755966	285.277648351648	92.3815715278987	0.286820219075245	0.19559070488111
PLK3	chr1	45266035	45271667	131.758397590361	57.7247172424555	-0.282100015287852	0.18004343713005
PLK4	chr4	128802015	128820377	183.022464	83.7019361909908	-0.14248364639769	0.431309054613966
PML	chr15	74287013	74340155	261.483308219178	128.661107690547	0.256585495258794	0.303996407161474
PMS2	chr7	6012869	6048737	166.537943820225	101.271046174001	-0.231421565147757	0.546052368232781
POLD1	chr19	50887579	50921275	108.536301587302	52.0101178391205	-0.321660537786966	0.184650975167287
POLE	chr12	133200347	133264110	114.253791666667	38.2680673845276	-0.692637586092034	0.176912190354672
PRPF40B	chr12	50017196	50038452	140.267049586777	50.6861254777671	-0.105033961459742	0.198332664590941
PTCH1	chr9	98205263	98279247	229.239518518519	91.7699198515143	0.101401076588779	0.146445484546787
PTEN	chr10	89623194	89728532	124.084585365854	69.2099702742651	-0.55951320551683	1.15386682823229
PTPN11	chr12	112856535	112947717	189.033567567568	67.2524787687616	-0.0405050191122878	0.14526182711186
PTPRD	chr9	8314245	10612723	142.39752970297	50.9091745931327	-0.514804664550136	0.185989081942285
RAD51C	chr17	56769933	56811703	114.84241509434	40.0303621901299	-0.550300821145983	0.29354721758497
RAD51D	chr17	33426810	33446888	143.975797619048	58.4666382593689	-0.667061179081106	0.158473847348047
RAF1	chr3	12625099	12705700	268.885256097561	63.5812868310555	0.231211047561545	0.140962847206381
RARA	chr17	38465422	38513895	224.21945021645	143.417832505956	0.26206907353553	0.368231024381684
RB1	chr13	48877882	49056026	123.1121484375	79.9778739760928	-0.0827822449369178	0.308378446770022
RET	chr10	43572516	43625797	190.41893373494	94.5281084655455	0.160699211700293	0.187886910856798
RICTOR	chr5	38938022	39074510	206.85623880597	119.90134704015	0.363594460651572	0.201347976516131
ROS1	chr6	117609529	117747018	123.002676470588	60.2792877469598	-0.456975978052968	0.273286577681043
RPS14	chr5	149823791	149829319	116.735111111111	38.1758467487973	-0.547771528504112	0.119100453038125
RUNX1	chr21	36160097	36421595	138.62325	99.5839180951799	0.0817869961133667	0.197593030800837
SF1	chr11	64532075	64546316	216.607521126761	152.714149274808	0.306315624644935	0.497755002079235
SF3B1	chr2	198256697	198299771	221.940267175573	55.2786509475175	0.316351492329941	0.189719704848083
SHH	chr7	155595557	155604967	161.53	128.627838537893	0.114453084935793	0.239015285943746
SLC22A2	chr6	160637793	160679963	114.1085	12.0923626620276	-0.706178139749972	0.119283147857892
SLCO1B3	chr12	20963637	21069843	109.7875	16.4414647537864	-0.527490906473614	0.0848141880250895
SMAD2	chr18	45359465	45457517	219.523333333333	69.5623427250599	0.00689815383571888	0.155478603020369
SMAD3	chr15	67358194	67487533	280.51034	108.114633229662	0.591028523035118	0.137811052460205
SMAD4	chr18	48556582	48611411	74.5651538461538	29.7776850745556	-1.37804261890645	0.200588093197649
SMARCA4	chr19	11071597	11172958	196.066471910112	90.0273562299529	0.375941718283633	0.236404070860574
SMARCB1	chr22	24129149	24176705	126.764553191489	52.081601198875	-0.717442718812737	0.151078116429904
SMO	chr7	128828712	128853385	167.082405797101	87.6768212417211	0.167137268226612	0.141572377673233
SPOP	chr17	47676245	47755525	272.275787234043	63.9034998688385	0.299321271641607	0.103311461717298
SPRY4	chr5	141689991	141704620	155.95862962963	40.2356710516171	0.16171472385163	0.215693952055185
SRC	chr20	35973087	36033835	134.560431034483	89.7375828160032	0.210906769609534	0.190056154669295
SRSF2	chr17	74730196	74733493	151.10625	114.254525145342	-0.454735845908408	0.153692439136224
STK11	chr19	1205797	1228434	98.0418043478261	60.3096909098002	-0.183084672439623	0.187106551604115
SUFU	chr10	104263718	104393214	138.622927631579	50.4381287699805	-0.685580651141728	0.214185658435487
SULT1A1	chr16	28616907	28634907	112.297833333333	18.8849668379964	0.188119618287044	0.117026959834702
SUZ12	chr17	30264043	30328057	155.854012820513	85.628926932597	0.462195791400657	0.312346156591914
TACC3	chr4	1723216	1746905	96.8643535353536	42.4336970627162	-0.74961677101941	0.234081041893684
TACSTD2	chr1	59041094	59043166	195.698037735849	90.0194496354972	-0.359465041165592	0.350570559937074
TET2	chr4	106067031	106200960	289.619714285714	75.1754939192642	-0.140411510516419	0.135442884618643
TFG	chr3	100428133	100467811	301.821152380952	85.6629745360137	0.338274404861528	0.158080191950476
TGFBR2	chr3	30647993	30735633	247.365442307692	93.4445329961152	0.249574664816261	0.115502101275092
TMPRSS2	chr21	42836477	42880085	277.562264339152	130.145331318223	0.068614532171336	0.379419436562473
TP53	chr17	7571719	7590868	99.8358545454546	48.7972094960053	-0.498141265165558	0.22316810127778
TPMT	chr6	18128544	18155374	106.714214285714	17.9153908740046	-0.41148805800893	0.125529173049654
TRRAP	chr7	98476112	98610866	134.256765013055	53.167687607386	-0.588778889999592	0.227029289572906
TSC1	chr9	135766734	135820020	249.839572649573	75.6908433824999	0.177718296921722	0.161314662312923
TSC2	chr16	2097989	2138713	191.06471559633	107.958077406102	0.448036367180757	0.175137650475122
TYMS	chr18	657603	673499	76.088875	74.5758326276641	0.0507718640003466	0.496429058695936
TYR	chr11	88911039	89028927	316.82515	105.567170254429	0.17810343606486	0.21129170198615
U2AF1	chr21	44513065	44527688	140.926738095238	52.1174916753161	-0.589423232228526	0.159427321711546
U2AF2	chr19	56165415	56186082	104.509064516129	51.8231829050975	-0.0839819686813504	0.233462325725651
UGT1A1	chr2	234668918	234681945	339.218909090909	103.160043892492	0.375678073214455	0.202124553122564
UMPS	chr3	124449212	124468119	301.5355	21.3896084641585	0.205866788837693	0.0584646249285009
VHL	chr3	10183318	10195354	212.638944444444	162.055427177957	0.261816177066962	0.171163027456312
WT1	chr11	32409321	32457081	172.02446969697	112.65263299741	0.174603054282169	0.221023665195702
ZBTB16	chr11	113930430	114121397	205.351890410959	75.4529749407712	0.197309248583333	0.200522067836993
ZRSR2	chrX	15808573	15841382	200.414672413793	50.4882506374223	-0.0676723140619967	0.165580480552728

