EXONS FAILING QC (depth < 50):
Gene	Chromosome	Start	Stop	Transcript	Average_Read_Depth
IDH2	chr15	90645423	90645703	IDH2:NM_001290114(intron 3-5' UTR ),IDH2:NM_002168(intron 3-5' UTR )	30.3952
IKZF1	chr7	50450200	50450440	IKZF1:NM_001220771(intron 4),IKZF1:NM_001220776(intron 2),IKZF1:NM_001220775(intron 2),IKZF1:NM_001220774(intron 2),IKZF1:NM_001220773(intron 2),IKZF1:NM_001220772(intron 2),IKZF1:NM_006060(intron 4-intron 5),IKZF1:NM_001220767(intron 3-intron 4),IKZF1:NM_001220766(intron 3-intron 4),IKZF1:NM_001220765(intron 4-intron 5),IKZF1:NM_001220770(intron 3-intron 4),IKZF1:NM_001220769(intron 3-intron 4),IKZF1:NM_001220768(intron 4-intron 5)	44.35075
JAK2	chr9	5077355	5077675	JAK2:NM_004972(intron 14-intron 15)	12.821
JAK3	chr19	17940830	17941110	JAK3:NM_000215(intron 25-intron 24)	47.1094
KMT2A	chr11	118307202	118307682	KMT2A:NM_005933(5' UTR -intron 1),KMT2A:NM_001197104(5' UTR -intron 1)	48.1181
MAP2K2	chr19	4123685	4123965	MAP2K2:NM_030662(intron 3-5' UTR )	25.2724
MAP2K4	chr17	11924119	11924399	MAP2K4:NM_003010(5' UTR -intron 1),MAP2K4:NM_001281435(5' UTR -intron 1)	11.0788
MAPK1	chr22	22221529	22221809	MAPK1:NM_138957(intron 3-5' UTR ),MAPK1:NM_002745(intron 3-5' UTR )	8.3058
MIOS	chr7	7606520	7606799	MIOS:NM_019005(5' UTR -intron 1)	19.5246
MPL	chr1	43814432	43814752	MPL:NM_005373(intron 8-intron 9)	25.5606666666667
NF1	chr17	29422236	29422476	NF1:NM_001128147(5' UTR -intron 1),NF1:NM_000267(5' UTR -intron 1),NF1:NM_001042492(5' UTR -intron 1)	15.44175
NKX2-1	chr14	36986452	36987252	NKX2-1:NM_001079668(3' UTR -intron 4),NKX2-1:NM_003317(3' UTR -intron 3)	45.2944444444445
NOTCH1	chr9	139440086	139440326	NOTCH1:NM_017617(intron 3-5' UTR )	15.19825
NOTCH2	chr1	120611862	120612102	NOTCH2:NM_024408(intron 3-5' UTR ),NOTCH2:NM_001200001(intron 3-5' UTR )	48.00125
NPRL3	chr16	174884	175123	NPRL3:NM_001077350(intron 5),NPRL3:NM_001243248(intron 5),NPRL3:NM_001243247(intron 6-intron 5),NPRL3:NM_001243249(intron 4),NPRL3:NM_001039476(intron 4)	19.5445
NPRL3	chr16	188523	188762	NPRL3:NM_001077350(intron 3-5' UTR ),NPRL3:NM_001243248(5' UTR ),NPRL3:NM_001243247(intron 3-5' UTR ),NPRL3:NM_001243249(5' UTR ),NPRL3:NM_001039476(5' UTR )	41.47
NTRK1	chr1	156830605	156831004	NTRK1:NM_002529(5' UTR -intron 1),NTRK1:NM_001012331(5' UTR -intron 1),NTRK1:NM_001007792(intron 2)	47.535875
PMS2	chr7	6012940	6013260	PMS2:NM_000535(3' UTR -intron 16),PMS2:NR_003085(3' UTR -intron 16)	19.3231666666667
PMS2	chr7	6017182	6017422	PMS2:NM_000535(intron 16-intron 15),PMS2:NR_003085(intron 16-intron 15)	37.4515
POLE	chr12	133263773	133264012	POLE:NM_006231(intron 3-5' UTR )	24.1465
PTCH1	chr9	98270401	98270681	PTCH1:NM_000264(intron 3-5' UTR ),PTCH1:NM_001083602(intron 3),PTCH1:NM_001083603(intron 3)	43.5176
PTEN	chr10	89624144	89624384	PTEN:NM_000314(5' UTR -intron 1)	23.71675
PTPN11	chr12	112856801	112857041	PTPN11:NM_002834(5' UTR -intron 1),PTPN11:NM_080601(5' UTR -intron 1)	10.886
PTPRD	chr9	8527227	8527467	PTPRD:NM_130392(intron 7-intron 6),PTPRD:NM_002839(intron 18-intron 17),PTPRD:NM_130391(intron 7-intron 6),PTPRD:NM_001171025(intron 7-intron 6),PTPRD:NM_130393(intron 7-intron 6),PTPRD:NM_001040712(intron 6)	35.848
RB1	chr13	48954090	48954330	RB1:NM_000321(intron 14-exon 16)	23.91275
RET	chr10	43572621	43572861	RET:NM_020630(5' UTR -intron 1),RET:NM_020975(5' UTR -intron 1)	26.4345
SF1	chr11	64545540	64545900	SF1:NM_004630(intron 3-5' UTR ),SF1:NM_001178030(exon 2-5' UTR ),SF1:NR_033649(intron 3-3' UTR ),SF1:NR_033650(intron 3-3' UTR ),SF1:NM_201995(intron 3-5' UTR ),SF1:NM_201998(intron 3-5' UTR ),SF1:NM_201997(intron 3-5' UTR )	9.98742857142857
SF1	chr11	64545740	64545900	SF1:NM_004630(intron 3-5' UTR ),SF1:NM_001178030(exon 2-5' UTR ),SF1:NR_033649(intron 3-3' UTR ),SF1:NR_033650(intron 3-3' UTR ),SF1:NM_201995(intron 3-5' UTR ),SF1:NM_201998(intron 3-5' UTR ),SF1:NM_201997(intron 3-5' UTR )	24.0455
SMO	chr7	128828956	128829356	SMO:NM_005631(5' UTR -intron 1)	37.94125
SOD2	chr6	160113750	160113990	SOD2:NM_000636(exon 3-intron 3),SOD2:NM_001024465(exon 3-intron 3),SOD2:NM_001024466(exon 3-intron 3)	34.83175
STK11	chr19	1226428	1226668	STK11:NM_000455(intron 8-intron 9)	49.6975
TACC3	chr4	1723154	1723433	TACC3:NM_006342(5' UTR -intron 1)	10.0868
TMPRSS2	chr21	42879903	42880103	TMPRSS2:NM_005656(intron 3-5' UTR ),TMPRSS2:NM_001135099(exon 2-5' UTR )	27.184
TRRAP	chr7	98476025	98476345	TRRAP:NM_003496(5' UTR -intron 1),TRRAP:NM_001244580(5' UTR -intron 1)	2.81
TRRAP	chr7	98579366	98579606	TRRAP:NM_003496(intron 56-intron 57),TRRAP:NM_001244580(intron 57-intron 58)	15.77225
TYMS	chr18	657524	657764	C18orf56:NM_001012716(intron 3),TYMS:NM_001071(5' UTR -exon 1)	6.34475
U2AF1	chr21	44527461	44527701	U2AF1:NM_006758(intron 3-5' UTR ),U2AF1:NM_001025204(intron 3-5' UTR ),U2AF1:NM_001025203(intron 3-5' UTR )	38.431
U2AF2	chr19	56170482	56170802	U2AF2:NM_007279(intron 1-intron 2),U2AF2:NM_001012478(intron 1-intron 2)	44.8418333333333
