EXONS FAILING QC (depth < 50):
Gene	Chromosome	Start	Stop	Transcript	Average_Read_Depth
MAP2K2	chr19	4123685	4123965	MAP2K2:NM_030662(intron 3-5' UTR )	18.791
MAP2K4	chr17	11924119	11924399	MAP2K4:NM_003010(5' UTR -intron 1),MAP2K4:NM_001281435(5' UTR -intron 1)	7.0104
MAPK1	chr22	22221529	22221809	MAPK1:NM_138957(intron 3-5' UTR ),MAPK1:NM_002745(intron 3-5' UTR )	8.4838
MIOS	chr7	7606520	7606799	MIOS:NM_019005(5' UTR -intron 1)	12.568
MPL	chr1	43814432	43814752	MPL:NM_005373(intron 8-intron 9)	25.3546666666667
NF1	chr17	29422236	29422476	NF1:NM_001128147(5' UTR -intron 1),NF1:NM_000267(5' UTR -intron 1),NF1:NM_001042492(5' UTR -intron 1)	15.58725
NOTCH1	chr9	139440086	139440286	NOTCH1:NM_017617(intron 3-5' UTR )	7.446
NPRL3	chr16	174884	175123	NPRL3:NM_001077350(intron 5),NPRL3:NM_001243248(intron 5),NPRL3:NM_001243247(intron 6-intron 5),NPRL3:NM_001243249(intron 4),NPRL3:NM_001039476(intron 4)	19.22575
NPRL3	chr16	188523	188762	NPRL3:NM_001077350(intron 3-5' UTR ),NPRL3:NM_001243248(5' UTR ),NPRL3:NM_001243247(intron 3-5' UTR ),NPRL3:NM_001243249(5' UTR ),NPRL3:NM_001039476(5' UTR )	29.955
NTRK1	chr1	156830605	156831004	NTRK1:NM_002529(5' UTR -intron 1),NTRK1:NM_001012331(5' UTR -intron 1),NTRK1:NM_001007792(intron 2)	39.71525
POLD1	chr19	50918912	50919151	POLD1:NR_046402(intron 21),POLD1:NM_002691(intron 21-intron 22),POLD1:NM_001256849(intron 21-intron 22)	49.51975
POLE	chr12	133263773	133264012	POLE:NM_006231(intron 3-5' UTR )	39.552
PTCH1	chr9	98270401	98270681	PTCH1:NM_000264(intron 3-5' UTR ),PTCH1:NM_001083602(intron 3),PTCH1:NM_001083603(intron 3)	37.8184
PTPN11	chr12	112856801	112857041	PTPN11:NM_002834(5' UTR -intron 1),PTPN11:NM_080601(5' UTR -intron 1)	17.92425
PTPRD	chr9	8527227	8527467	PTPRD:NM_130392(intron 7-intron 6),PTPRD:NM_002839(intron 18-intron 17),PTPRD:NM_130391(intron 7-intron 6),PTPRD:NM_001171025(intron 7-intron 6),PTPRD:NM_130393(intron 7-intron 6),PTPRD:NM_001040712(intron 6)	14.94375
RARA	chr17	38512228	38512508	RARA:NM_001024809(intron 7-3' UTR ),RARA:NM_000964(intron 8-3' UTR ),RARA:NM_001145301(intron 8-3' UTR ),RARA:NM_001145302(intron 6-3' UTR )	41.972
RB1	chr13	48877955	48878275	RB1:NM_000321(5' UTR -intron 1)	49.4658333333333
RB1	chr13	48954090	48954330	RB1:NM_000321(intron 14-exon 16)	7.949
RET	chr10	43572621	43572861	RET:NM_020630(5' UTR -intron 1),RET:NM_020975(5' UTR -intron 1)	17.42875
RICTOR	chr5	38953467	38953747	RICTOR:NM_152756(intron 30-intron 29),RICTOR:NM_001285440(intron 30-intron 29),RICTOR:NM_001285439(intron 30-intron 29)	43.9646
RICTOR	chr5	38962327	38962567	RICTOR:NM_152756(intron 21-intron 20),RICTOR:NM_001285440(intron 21-intron 20),RICTOR:NM_001285439(intron 21-intron 20)	39.839
SF1	chr11	64545660	64545900	SF1:NM_004630(intron 3-5' UTR ),SF1:NM_001178030(exon 2-5' UTR ),SF1:NR_033649(intron 3-3' UTR ),SF1:NR_033650(intron 3-3' UTR ),SF1:NM_201995(intron 3-5' UTR ),SF1:NM_201998(intron 3-5' UTR ),SF1:NM_201997(intron 3-5' UTR )	7.528
SF1	chr11	64545740	64545900	SF1:NM_004630(intron 3-5' UTR ),SF1:NM_001178030(exon 2-5' UTR ),SF1:NR_033649(intron 3-3' UTR ),SF1:NR_033650(intron 3-3' UTR ),SF1:NM_201995(intron 3-5' UTR ),SF1:NM_201998(intron 3-5' UTR ),SF1:NM_201997(intron 3-5' UTR )	10.2425
SMARCA4	chr19	11098309	11098629	SMARCA4:NM_001128849(intron 5-intron 6),SMARCA4:NM_001128846(intron 4-intron 5),SMARCA4:NM_001128845(intron 4-intron 5),SMARCA4:NM_001128847(intron 4-intron 5),SMARCA4:NM_003072(intron 5-intron 6),SMARCA4:NM_001128848(intron 4-intron 5),SMARCA4:NM_001128844(intron 6-intron 7)	47.9825
SMO	chr7	128828956	128829356	SMO:NM_005631(5' UTR -intron 1)	28.033125
SRC	chr20	36012520	36012840	SRC:NM_198291(intron 3-intron 4),SRC:NM_005417(intron 3-intron 4)	46.0631666666667
SRC	chr20	36026018	36026338	SRC:NM_198291(intron 8-intron 9),SRC:NM_005417(intron 8-intron 9)	48.4078333333333
SUZ12	chr17	30300066	30300346	SUZ12:NM_015355(intron 5-intron 6)	14.7684
SUZ12	chr17	30323735	30323975	SUZ12:NM_015355(intron 14-intron 15)	37.82875
TACC3	chr4	1723154	1723433	TACC3:NM_006342(5' UTR -intron 1)	26.3018
TMPRSS2	chr21	42879903	42880103	TMPRSS2:NM_005656(intron 3-5' UTR ),TMPRSS2:NM_001135099(exon 2-5' UTR )	45.1693333333333
TRRAP	chr7	98476025	98476185	TRRAP:NM_003496(5' UTR ),TRRAP:NM_001244580(5' UTR )	11.273
TRRAP	chr7	98579366	98579606	TRRAP:NM_003496(intron 56-intron 57),TRRAP:NM_001244580(intron 57-intron 58)	28.018
TYMS	chr18	657524	657764	C18orf56:NM_001012716(intron 3),TYMS:NM_001071(5' UTR -exon 1)	6.976
U2AF2	chr19	56170482	56170802	U2AF2:NM_007279(intron 1-intron 2),U2AF2:NM_001012478(intron 1-intron 2)	41.2776666666667
ZBTB16	chr11	113931197	113931396	ZBTB16:NM_001018011(5' UTR -intron 1),ZBTB16:NM_006006(intron 1)	43.767
