EXONS FAILING QC (depth < 50):
Gene	Chromosome	Start	Stop	Transcript	Average_Read_Depth
DOCK7	chr1	63153829	63154108	DOCK7:NM_001272001(intron 3-5' UTR ),DOCK7:NM_033407(intron 3-5' UTR ),DOCK7:NM_001271999(intron 3-5' UTR ),DOCK7:NM_001272000(intron 3-5' UTR ),DOCK7:NM_001272002(intron 3-5' UTR )	15.4084
DPYD	chr1	98144555	98144834	DPYD:NM_000110(intron 10-intron 9)	44.854
EGFR	chr7	55086873	55087153	EGFR:NM_201284(5' UTR -intron 1),EGFR:NM_201283(5' UTR -intron 1),EGFR:NM_201282(5' UTR -intron 1),EGFR:NM_005228(5' UTR -intron 1)	12.8156
EGFR	chr7	55240585	55240905	EGFR:NM_005228(intron 16-intron 17)	47.3406666666667
EML4	chr2	42552578	42552778	EML4:NM_001145076(intron 18-intron 19),EML4:NM_019063(intron 19-intron 20)	28.6316666666667
EPHA5	chr4	66535248	66535488	EPHA5:NM_004439(intron 3-5' UTR ),EPHA5:NM_182472(intron 3-5' UTR ),EPHA5:NM_001281765(intron 3-5' UTR ),EPHA5:NM_001281767(intron 3-5' UTR ),EPHA5:NM_001281766(intron 3-5' UTR )	21.1715
ERBB2	chr17	37856406	37856646	ERBB2:NM_004448(5' UTR -intron 1),ERBB2:NM_001005862(intron 4),ERBB2:NM_001289937(5' UTR -intron 1),ERBB2:NR_110535(5' UTR -intron 1),ERBB2:NM_001289936(intron 5),ERBB2:NM_001289938(intron 4)	9.295
FBXW7	chr4	153271093	153271373	FBXW7:NM_033632(intron 5-intron 4),FBXW7:NM_018315(intron 4-intron 3),FBXW7:NM_001013415(intron 4-intron 3)	40.5802
FCGR1A	chr1	149754614	149754854	FCGR1A:NM_000566(intron 1-intron 2),HIST2H2BF:NM_001161334(3' UTR -intron 3)	14.225
FGFR3	chr4	1795574	1795854	FGFR3:NM_001163213(5' UTR -intron 2),FGFR3:NM_000142(5' UTR -intron 2),FGFR3:NM_022965(5' UTR -intron 2)	10.1012
FGFR3	chr4	1800954	1801274	FGFR3:NM_001163213(intron 2-intron 3),FGFR3:NM_000142(intron 2-intron 3),FGFR3:NM_022965(intron 2-intron 3)	46.1135
FGFR3	chr4	1803072	1803352	FGFR3:NM_001163213(intron 4-exon 6),FGFR3:NM_000142(intron 4-exon 6),FGFR3:NM_022965(intron 4-exon 6)	36.3126
FGFR3	chr4	1806462	1806782	FGFR3:NM_001163213(intron 9-intron 10),FGFR3:NM_000142(intron 9-intron 10),FGFR3:NM_022965(intron 7-intron 8)	45.6925
FGFR3	chr4	1807450	1807690	FGFR3:NM_001163213(intron 12-intron 13),FGFR3:NM_000142(intron 12-intron 13),FGFR3:NM_022965(intron 10-intron 11)	41.0705
FGFR3	chr4	1808754	1809074	FGFR3:NM_001163213(intron 17-3' UTR ),FGFR3:NM_000142(intron 17-3' UTR ),FGFR3:NM_022965(intron 15-3' UTR )	40.9986666666667
FLT1	chr13	29068827	29069067	FLT1:NM_001160030(intron 3-5' UTR ),FLT1:NM_002019(intron 3-5' UTR ),FLT1:NM_001159920(intron 3-5' UTR ),FLT1:NM_001160031(intron 3-5' UTR )	22.438
FLT3	chr13	28674504	28674744	FLT3:NM_004119(intron 3-5' UTR )	15.70975
FLT4	chr5	180030169	180030409	FLT4:NM_182925(3' UTR -intron 31)	45.6385
FLT4	chr5	180076395	180076635	FLT4:NM_002020(intron 3-5' UTR ),FLT4:NM_182925(intron 3-5' UTR )	5.9445
GAB2	chr11	78128607	78128847	GAB2:NM_080491(intron 3-5' UTR )	20.5645
GATA2	chr3	128205618	128205898	GATA2:NM_001145661(intron 5-5' UTR ),GATA2:NM_001145662(intron 4-5' UTR ),GATA2:NM_032638(intron 4-5' UTR )	39.0266
GLI1	chr12	57853811	57854090	GLI1:NM_001160045(5' UTR -intron 1),GLI1:NM_001167609(5' UTR -intron 1),GLI1:NM_005269(5' UTR -intron 1)	15.1792
GNAS	chr20	57466689	57467009	GNAS:NM_001077490(intron 1),GNAS:NM_016592(intron 1),GNAS:NM_080425(intron 1),GNAS:NR_003259(intron 1),GNAS:NM_001077488(5' UTR -intron 1),GNAS:NM_000516(5' UTR -intron 1),GNAS:NM_080426(5' UTR -intron 1),GNAS:NM_001077489(5' UTR -intron 1)	43.2726666666667
H3F3A	chr1	226250340	226250579	H3F3AP4:NR_002315(5' UTR -intron 1),H3F3A:NM_002107(5' UTR -intron 1)	33.7085
H3F3A	chr1	226258998	226259757	H3F3AP4:NR_002315(intron 3-3' UTR ),H3F3A:NM_002107(intron 3-3' UTR )	46.604
IDH2	chr15	90645423	90645703	IDH2:NM_001290114(intron 3-5' UTR ),IDH2:NM_002168(intron 3-5' UTR )	27.676
IKZF1	chr7	50450200	50450440	IKZF1:NM_001220771(intron 4),IKZF1:NM_001220776(intron 2),IKZF1:NM_001220775(intron 2),IKZF1:NM_001220774(intron 2),IKZF1:NM_001220773(intron 2),IKZF1:NM_001220772(intron 2),IKZF1:NM_006060(intron 4-intron 5),IKZF1:NM_001220767(intron 3-intron 4),IKZF1:NM_001220766(intron 3-intron 4),IKZF1:NM_001220765(intron 4-intron 5),IKZF1:NM_001220770(intron 3-intron 4),IKZF1:NM_001220769(intron 3-intron 4),IKZF1:NM_001220768(intron 4-intron 5)	40.3615
JAK2	chr9	5077355	5077675	JAK2:NM_004972(intron 14-intron 15)	11.7275
JAK3	chr19	17940830	17941110	JAK3:NM_000215(intron 25-intron 24)	42.8694
KMT2A	chr11	118307202	118307682	KMT2A:NM_005933(5' UTR -intron 1),KMT2A:NM_001197104(5' UTR -intron 1)	44.7399
MAP2K2	chr19	4123685	4123965	MAP2K2:NM_030662(intron 3-5' UTR )	23.019
MAP2K4	chr17	11924119	11924399	MAP2K4:NM_003010(5' UTR -intron 1),MAP2K4:NM_001281435(5' UTR -intron 1)	10.1356
MAPK1	chr22	22221529	22221809	MAPK1:NM_138957(intron 3-5' UTR ),MAPK1:NM_002745(intron 3-5' UTR )	7.604
MIOS	chr7	7606520	7606799	MIOS:NM_019005(5' UTR -intron 1)	17.7938
MPL	chr1	43814432	43814752	MPL:NM_005373(intron 8-intron 9)	23.281
NBN	chr8	90996686	90996965	NBN:NM_002485(intron 3-5' UTR )	47.3552
NF1	chr17	29422236	29422476	NF1:NM_001128147(5' UTR -intron 1),NF1:NM_000267(5' UTR -intron 1),NF1:NM_001042492(5' UTR -intron 1)	14.0825
NKX2-1	chr14	36986452	36987252	NKX2-1:NM_001079668(3' UTR -intron 4),NKX2-1:NM_003317(3' UTR -intron 3)	41.2195555555556
NKX2-1	chr14	36989174	36989414	NKX2-1:NM_001079668(intron 3-5' UTR ),NKX2-1-AS1:NR_103710(intron 1)	46.8615
NOTCH1	chr9	139440086	139440326	NOTCH1:NM_017617(intron 3-5' UTR )	13.8615
NOTCH2	chr1	120611862	120612102	NOTCH2:NM_024408(intron 3-5' UTR ),NOTCH2:NM_001200001(intron 3-5' UTR )	43.68025
NPRL3	chr16	174884	175123	NPRL3:NM_001077350(intron 5),NPRL3:NM_001243248(intron 5),NPRL3:NM_001243247(intron 6-intron 5),NPRL3:NM_001243249(intron 4),NPRL3:NM_001039476(intron 4)	18.02475
NPRL3	chr16	188523	188762	NPRL3:NM_001077350(intron 3-5' UTR ),NPRL3:NM_001243248(5' UTR ),NPRL3:NM_001243247(intron 3-5' UTR ),NPRL3:NM_001243249(5' UTR ),NPRL3:NM_001039476(5' UTR )	37.74325
NTRK1	chr1	156830605	156831004	NTRK1:NM_002529(5' UTR -intron 1),NTRK1:NM_001012331(5' UTR -intron 1),NTRK1:NM_001007792(intron 2)	43.2575
PMS2	chr7	6012940	6013260	PMS2:NM_000535(3' UTR -intron 16),PMS2:NR_003085(3' UTR -intron 16)	17.8735
PMS2	chr7	6017182	6017422	PMS2:NM_000535(intron 16-intron 15),PMS2:NR_003085(intron 16-intron 15)	34.09025
POLD1	chr19	50918912	50919151	POLD1:NR_046402(intron 21),POLD1:NM_002691(intron 21-intron 22),POLD1:NM_001256849(intron 21-intron 22)	46.218
POLE	chr12	133263773	133264012	POLE:NM_006231(intron 3-5' UTR )	21.9955
PTCH1	chr9	98270401	98270681	PTCH1:NM_000264(intron 3-5' UTR ),PTCH1:NM_001083602(intron 3),PTCH1:NM_001083603(intron 3)	39.8654
PTEN	chr10	89624144	89624384	PTEN:NM_000314(5' UTR -intron 1)	21.60475
PTPN11	chr12	112856801	112857041	PTPN11:NM_002834(5' UTR -intron 1),PTPN11:NM_080601(5' UTR -intron 1)	9.94125
PTPRD	chr9	8527227	8527467	PTPRD:NM_130392(intron 7-intron 6),PTPRD:NM_002839(intron 18-intron 17),PTPRD:NM_130391(intron 7-intron 6),PTPRD:NM_001171025(intron 7-intron 6),PTPRD:NM_130393(intron 7-intron 6),PTPRD:NM_001040712(intron 6)	32.63225
RB1	chr13	48877955	48878275	RB1:NM_000321(5' UTR -intron 1)	48.178
RB1	chr13	48923004	48923244	RB1:NM_000321(intron 5-intron 6)	48.08025
RB1	chr13	48954090	48954330	RB1:NM_000321(intron 14-exon 16)	21.83625
RET	chr10	43572621	43572861	RET:NM_020630(5' UTR -intron 1),RET:NM_020975(5' UTR -intron 1)	23.65375
SF1	chr11	64545580	64545900	SF1:NM_004630(intron 3-5' UTR ),SF1:NM_001178030(exon 2-5' UTR ),SF1:NR_033649(intron 3-3' UTR ),SF1:NR_033650(intron 3-3' UTR ),SF1:NM_201995(intron 3-5' UTR ),SF1:NM_201998(intron 3-5' UTR ),SF1:NM_201997(intron 3-5' UTR )	10.9343333333333
SF1	chr11	64545740	64545900	SF1:NM_004630(intron 3-5' UTR ),SF1:NM_001178030(exon 2-5' UTR ),SF1:NR_033649(intron 3-3' UTR ),SF1:NR_033650(intron 3-3' UTR ),SF1:NM_201995(intron 3-5' UTR ),SF1:NM_201998(intron 3-5' UTR ),SF1:NM_201997(intron 3-5' UTR )	21.904
SMAD4	chr18	48575558	48575798	SMAD4:NM_005359(intron 3-intron 4)	49.2495
SMO	chr7	128828956	128829356	SMO:NM_005631(5' UTR -intron 1)	34.608
SOD2	chr6	160113750	160113990	SOD2:NM_000636(exon 3-intron 3),SOD2:NM_001024465(exon 3-intron 3),SOD2:NM_001024466(exon 3-intron 3)	31.70875
STK11	chr19	1226428	1226668	STK11:NM_000455(intron 8-intron 9)	45.22225
TACC3	chr4	1723154	1723433	TACC3:NM_006342(5' UTR -intron 1)	9.251
TMPRSS2	chr21	42879903	42880103	TMPRSS2:NM_005656(intron 3-5' UTR ),TMPRSS2:NM_001135099(exon 2-5' UTR )	24.7566666666667
TRRAP	chr7	98476065	98476345	TRRAP:NM_003496(5' UTR -intron 1),TRRAP:NM_001244580(5' UTR -intron 1)	3.3198
TRRAP	chr7	98579366	98579606	TRRAP:NM_003496(intron 56-intron 57),TRRAP:NM_001244580(intron 57-intron 58)	14.383
TYMS	chr18	657524	657764	C18orf56:NM_001012716(intron 3),TYMS:NM_001071(5' UTR -exon 1)	6.05675
U2AF1	chr21	44527461	44527701	U2AF1:NM_006758(intron 3-5' UTR ),U2AF1:NM_001025204(intron 3-5' UTR ),U2AF1:NM_001025203(intron 3-5' UTR )	34.9805
U2AF2	chr19	56170482	56170802	U2AF2:NM_007279(intron 1-intron 2),U2AF2:NM_001012478(intron 1-intron 2)	40.8083333333333
