gene1	chrom1	region1	gene2	chrom2	region2	notes
ALK	chr2	29415639-30144477	SPTBN1	chr2	54683453-54898583	Quiver:ALK-SPTBN1
ALK	chr2	29415639-30144477	SQSTM1	chr5	179233387-179265077	Quiver:ALK-SQSTM1
ALK	chr2	29415639-30144477	STRN	chr2	37064840-37193615	Quiver:ALK-STRN
ALK	chr2	29415639-30144477	TERT	chr5	1253286-1295162	Quiver:ALK-TERT
ALK	chr2	29415639-30144477	TFG	chr3	100428133-100467811	Quiver:ALK-TFG
ALK	chr2	29415639-30144477	THBS1	chr15	39873279-39889668	Quiver:ALK-THBS1
ALK	chr2	29415639-30144477	TIMP3	chr22	33196801-33259028	Quiver:ALK-TIMP3
ALK	chr2	29415639-30144477	TPM1	chr15	63334837-63364113	Quiver:ALK-TPM1
ALK	chr2	29415639-30144477	TPM3	chr1	154134288-154164611	Quiver:ALK-TPM3
ALK	chr2	29415639-30144477	TPM4	chr19	16178316-16213813	Quiver:ALK-TPM4
ALK	chr2	29415639-30144477	TPR	chr1	186280785-186344457	Quiver:ALK-TPR
ALK	chr2	29415639-30144477	TRMT61B	chr2	29072687-29093175	Quiver:ALK-TRMT61B
ALK	chr2	29415639-30144477	VCL	chr10	75757871-75879914	Quiver:ALK-VCL
MSH2-B	chr2	47669397-47669646	BOLAND	chr2	38120857-38121356	BOLAND
BRAF	chr7	140433812-140624564	AGAP3	chr7	150782917-150841523	Quiver:BRAF-AGAP3
BRAF	chr7	140433812-140624564	AGK	chr7	141251077-141354209	Quiver:BRAF-AGK
BRAF	chr7	140433812-140624564	AGTRAP	chr1	11796141-11810828	Quiver:BRAF-AGTRAP
BRAF	chr7	140433812-140624564	AKAP9	chr7	91570188-91739987	Quiver:BRAF-AKAP9
BRAF	chr7	140433812-140624564	AP3B1	chr5	77298149-77590579	Quiver:BRAF-AP3B1
BRAF	chr7	140433812-140624564	ARMC10	chr7	102715327-102740210	Quiver:BRAF-ARMC10
BRAF	chr7	140433812-140624564	ATG7	chr3	11314009-11599139	Quiver:BRAF-ATG7
BRAF	chr7	140433812-140624564	BCL2L11	chr2	111878490-111926022	Quiver:BRAF-BCL2L11
BRAF	chr7	140433812-140624564	BTF3L4	chr1	52521856-52556388	Quiver:BRAF-BTF3L4
BRAF	chr7	140433812-140624564	CCDC6	chr10	61548505-61666414	Quiver:BRAF-CCDC6
BRAF	chr7	140433812-140624564	CCDC91	chr12	28410132-28703099	Quiver:BRAF-CCDC91
BRAF	chr7	140433812-140624564	CDC27	chr17	45195310-45266665	Quiver:BRAF-CDC27
BRAF	chr7	140433812-140624564	CEP89	chr19	33369903-33462869	Quiver:BRAF-CEP89
BRAF	chr7	140433812-140624564	CLCN6	chr1	11866152-11903201	Quiver:BRAF-CLCN6
BRAF	chr7	140433812-140624564	CUL1	chr7	148395932-148498202	Quiver:BRAF-CUL1
BRAF	chr7	140433812-140624564	CUX1	chr7	101459183-101927250	Quiver:BRAF-CUX1
BRAF	chr7	140433812-140624564	DYNC1I2	chr2	172543918-172606668	Quiver:BRAF-DYNC1I2
BRAF	chr7	140433812-140624564	EPB41	chr1	29213602-29446558	Quiver:BRAF-EPB41
BRAF	chr7	140433812-140624564	EPS15	chr1	51819934-51984995	Quiver:BRAF-EPS15
BRAF	chr7	140433812-140624564	FAM114A2	chr5	153371268-153418497	Quiver:BRAF-FAM114A2
BRAF	chr7	140433812-140624564	FAM131B	chr7	143050492-143059840	Quiver:BRAF-FAM131B
BRAF	chr7	140433812-140624564	FCHSD1	chr5	141018868-141030986	Quiver:BRAF-FCHSD1
BRAF	chr7	140433812-140624564	FXR1	chr3	180630233-180700539	Quiver:BRAF-FXR1
BRAF	chr7	140433812-140624564	FZR1	chr19	3506294-3536755	Quiver:BRAF-FZR1
BRAF	chr7	140433812-140624564	GATM	chr15	45653321-45670980	Quiver:BRAF-GATM
BRAF	chr7	140433812-140624564	GHR	chr5	42423876-42721980	Quiver:BRAF-GHR
BRAF	chr7	140433812-140624564	GNA11	chr19	3094407-3124000	Quiver:BRAF-GNA11
BRAF	chr7	140433812-140624564	GNAI1	chr7	79764139-79848725	Quiver:BRAF-GNAI1
BRAF	chr7	140433812-140624564	GTF2I	chr7	74071990-74175022	Quiver:BRAF-GTF2I
BRAF	chr7	140433812-140624564	HERPUD1	chr16	56966001-56977793	Quiver:BRAF-HERPUD1
BRAF	chr7	140433812-140624564	JHDM1D	chr7	139784545-139876741	Quiver:BRAF-KDM7A
BRAF	chr7	140433812-140624564	KIAA1549	chr7	138516126-138666064	Quiver:BRAF-KIAA1549
BRAF	chr7	140433812-140624564	KLHL7	chr7	23145352-23215038	Quiver:BRAF-KLHL7
BRAF	chr7	140433812-140624564	LSM14A	chr19	34663351-34720420	Quiver:BRAF-LSM14A
BRAF	chr7	140433812-140624564	MACF1	chr1	39549838-39952810	Quiver:BRAF-MACF1
BRAF	chr7	140433812-140624564	MKRN1	chr7	140152839-140179369	Quiver:BRAF-MKRN1
BRAF	chr7	140433812-140624564	MYRIP	chr3	39850404-40301811	Quiver:BRAF-MYRIP
BRAF	chr7	140433812-140624564	MZT1	chr13	73282494-73301938	Quiver:BRAF-MZT1
BRAF	chr7	140433812-140624564	NUB1	chr7	151038846-151075548	Quiver:BRAF-NUB1
BRAF	chr7	140433812-140624564	NUP214	chr9	134000947-134110057	Quiver:BRAF-NUP214
BRAF	chr7	140433812-140624564	PAPSS1	chr4	108534821-108641419	Quiver:BRAF-PAPSS1
BRAF	chr7	140433812-140624564	QKI	chr6	163835674-163999628	Quiver:BRAF-QKI
BRAF	chr7	140433812-140624564	RAD18	chr3	8918879-9005159	Quiver:BRAF-RAD18
BRAF	chr7	140433812-140624564	RBMS3	chr3	29322802-30051886	Quiver:BRAF-RBMS3
BRAF	chr7	140433812-140624564	RNF130	chr5	179382066-179499118	Quiver:BRAF-RNF130
BRAF	chr7	140433812-140624564	SLC12A7	chr5	1050488-1112172	Quiver:BRAF-SLC12A7
BRAF	chr7	140433812-140624564	SLC45A3	chr1	205626980-205649630	Quiver:BRAF-SLC45A3
BRAF	chr7	140433812-140624564	SND1	chr7	127292201-127732659	Quiver:BRAF-SND1
BRAF	chr7	140433812-140624564	STRN3	chr14	31363004-31495607	Quiver:BRAF-STRN3
BRAF	chr7	140433812-140624564	C7orf10	chr7	40174574-40900366	Quiver:BRAF-SUGCT
BRAF	chr7	140433812-140624564	TANK	chr2	161993465-162092682	Quiver:BRAF-TANK
BRAF	chr7	140433812-140624564	TAX1BP1	chr7	27778991-27869386	Quiver:BRAF-TAX1BP1
BRAF	chr7	140433812-140624564	TMPRSS2	chr21	42836477-42880085	Quiver:BRAF-TMPRSS2
BRAF	chr7	140433812-140624564	TRIM24	chr7	138145078-138270332	Quiver:BRAF-TRIM24
BRAF	chr7	140433812-140624564	TRIM4	chr7	99488029-99517223	Quiver:BRAF-TRIM4
BRAF	chr7	140433812-140624564	ZC3HAV1	chr7	138728265-138794465	Quiver:BRAF-ZC3HAV1
BRAF	chr7	140433812-140624564	ZKSCAN1	chr7	99613218-99635403	Quiver:BRAF-ZKSCAN1
BRAF	chr7	140433812-140624564	ZNF767	chr7	149244244-149321881	Quiver:BRAF-ZNF767P
BRAF	chr7	140433812-140624564	ZSCAN30	chr18	32831022-32870196	Quiver:BRAF-ZSCAN30
MET	chr7	116312458-116438440	C8orf34	chr8	69242956-69731258	Quiver:MET-C8orf34
MET	chr7	116312458-116438440	CAPZA2	chr7	116502562-116559313	Quiver:MET-CAPZA2
MET	chr7	116312458-116438440	CAV1	chr7	116164838-116201239	Quiver:MET-CAV1
MET	chr7	116312458-116438440	CFTR	chr7	117120016-117308718	Quiver:MET-CFTR
MET	chr7	116312458-116438440	KIF5B	chr10	32297937-32345371	Quiver:MET-KIF5B
MET	chr7	116312458-116438440	OXR1	chr8	107282405-107764921	Quiver:MET-OXR1
MET	chr7	116312458-116438440	PTPRZ1	chr7	121513158-121702090	Quiver:MET-PTPRZ1
MET	chr7	116312458-116438440	ST7	chr7	116593380-116870075	Quiver:MET-ST7
MET	chr7	116312458-116438440	TES	chr7	115850546-115898837	Quiver:MET-TES
MET	chr7	116312458-116438440	TFG	chr3	100428133-100467811	Quiver:MET-TFG
MET	chr7	116312458-116438440	TPR	chr1	186280785-186344457	Quiver:MET-TPR
